Category,Difficulty,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Number,Explanation,Related Traffic Rule
Umbrella Riding,Advanced,Which statement best describes the legal treatment of riding a bicycle while holding an umbrella?,Expressly legal nationwide at all times.,"Because it may violate Public Safety Commission regulations in many regions, it should generally be avoided.",One-handed riding is unrelated to the duty of safe driving.,It automatically becomes legal on rainy days,2,"Riding while holding an umbrella may violate Public Safety Commission regulations in many areas and may also be evaluated as a violation of the duty to drive safely. Because regulations vary by region, it is safest to regard the practice as generally discouraged.",National Police Agency Bicycle Portal Site; Prefectural Public Safety Commission Regulations and Road Traffic Act Article 70 – Riding with an Umbrella
Dangerous Conduct,Advanced,"According to Article 26-2 of the Road Traffic Act, which statement correctly describes lane changes by cyclists?",A sudden lane change is permitted if it does not affect the speed or direction of vehicles behind.,Rules on lane changes do not apply to bicycles.,You must not change lanes if doing so could force vehicles behind you to make sudden speed or direction changes.,You may change lanes freely at any time,3,Article 26-2 of the Road Traffic Act prohibits changing lanes carelessly and forbids lane changes that could force following vehicles to make sudden speed or direction changes. This also applies to bicycles.,"Five Rules for Safe Bicycle Use | National Police Agency; Road Traffic Act, Article 26-2"
Basic Rules,Advanced,"On a road with designated traffic lanes, where should a bicycle normally travel?",Use the rightmost traffic lane.,You may freely choose any open lane regardless of traffic lane designations.,Use the leftmost traffic lane and ride on the left side of that lane.,You may freely move between the sidewalk and roadway,3,"Even where traffic lanes are provided, bicycles are generally required to use the leftmost lane and ride on the left side of that lane.",Road Traffic Act; Article 20
Motorized Kickboard (Specified Small Motorized Bicycle),Advanced,Which statement about Specified Small Motorized Bicycles is correct?,A license plate and compulsory liability insurance are required.,"It is intended only for sidewalk riding, and insurance is unnecessary.","Like a bicycle, no license plate is required.",Even those under 16 may ride if the vehicle has a license plate,1,A specified small motorized bicycle is not a bicycle but a type of moped and requires a license plate and compulsory liability insurance.,National Police Agency Bicycle Portal Site; Traffic Rules for Specified Small Motorized Bicycles – License Plates and Related Requirements
Basic Rules,Advanced,Which statement best reflects the intent of Article 53 regarding signaling when changing direction or turning on a bicycle?,"When traffic may be affected, signal in advance and make lane changes or turns with sufficient time and care.",You must not give signals while riding on a sidewalk.,Bicyclists have no signaling obligation.,No signal is required if you increase speed and turn quickly,1,"Hand signals are an important means of communication when changing direction or turning, helping to avoid danger to other road users.",Road Traffic Act; Article 53
Drunk Riding,Advanced,What is the correct legal threshold for riding under the influence as described in the official materials?,Breath alcohol concentration of 0.05 mg/L or blood alcohol concentration of 0.1 mg/ml.,Breath alcohol concentration of 0.15 mg/L or blood alcohol concentration of 0.3 mg/ml.,Breath alcohol concentration of 0.3 mg/L or blood alcohol concentration of 0.15 mg/mL.,There is no clear numerical standard,2,The materials indicate that the threshold for driving under the influence is a breath alcohol concentration of 0.15 mg/L or a blood alcohol concentration of 0.3 mg/mL.,National Police Agency Bicycle Portal Site; Bicycle Rulebook – Standards for Driving Under the Influence
Dangerous Conduct,Advanced,Which statement best reflects the intent of traffic laws and related standards regarding carrying a child on a bicycle?,There are no legal restrictions on carrying children.,A child may stand on the cargo rack for a short distance.,An adult may carry a child on any bicycle as long as the child is held.,A child may ride if the bicycle has an approved child seat or otherwise meets the required standards,4,"Using equipment that meets safety standards, such as bicycles designed for carrying children and approved child seats, is a fundamental requirement for safety.",Road Traffic Act; Articles 57 and 63-11
Dangerous Conduct,Advanced,Which statement most closely reflects the legal standard for hearing impairment?,Being able to hear a 60 dB sound from 5 meters away.,Being able to hear a 90 dB horn from 10 meters away.,Being able to hear a 40 dB sound from 20 meters away.,There are no specific standards for distance or sound volume,2,Article 9-7-2 defines hearing impairment based on the inability to hear a 90 dB warning sound from a distance of 10 meters.,Road Traffic Act Enforcement Regulations; Article 9-7-2
Basic Rules,Advanced,"At an intersection equipped with both a bicycle crossing lane and a bicycle-pedestrian signal, which signal must a cyclist obey when crossing?",Pedestrian-and-bicycle signal.,Vehicle signal only.,There are no specific rules.,Only pedestrian signals apply,1,"Under Article 7 of the Road Traffic Act and Article 2 of the Enforcement Order, road users must obey traffic signal indications.",Road Traffic Act Enforcement Regulations; Road Traffic Act Article 7 and Enforcement Regulations Article 2
Basic Rules,Advanced,"When a bicycle is traveling on a sidewalk, what is the most appropriate position for it to travel under the Road Traffic Act?",Near the building-side edge.,The center of the sidewalk.,The portion closest to the roadway.,There are no specific rules,3,"When riding on a sidewalk, cyclists are generally required to travel on the side closer to the roadway to protect pedestrian safety.","Road Traffic Act Enforcement Regulations; Road Traffic Act, Article 63-4"
No-Entry Restrictions,Advanced,What is the correct legal treatment of entering a road where bicycle access is prohibited?,Bicycles are exempt.,It may constitute a violation of a road closure or traffic prohibition.,Personal judgment takes precedence over traffic signs.,You may enter unconditionally if using the sidewalk,2,Violating a traffic prohibition that specifically applies to bicycles may constitute a prohibited-passage violation.,National Police Agency Bicycle Portal Site; Enforcement Information – Prohibited Passage Violations
Basic Rules,Beginner,"What obligation does a cyclist have near a pedestrian crossing, in line with the intent of Article 38 of the Road Traffic Act?",Simply slowing down is sufficient even when pedestrians are present.,Vehicles have priority over pedestrians.,Cyclists have no special duties at crosswalks.,"If a pedestrian intends to cross, you must stop or take other measures to avoid obstructing them",4,"Article 38 establishes pedestrian priority at crosswalks, and cyclists must not obstruct pedestrians using them.",Road Traffic Act; Article 38
Penalties & Liability,Advanced,Which statement best describes the Bicycle Rider Training Program?,A cyclist may be ordered to attend a bicycle operator safety course after repeated dangerous violations.,"There is no bicycle safety course system, regardless of how many violations are committed.",The training course is voluntary and unrelated to violations.,Failure to attend the course results in automatic revocation of a bicycle license,1,"Under Article 108-3-4 of the Road Traffic Act, repeatedly committing designated dangerous acts may result in an order to attend a safety course.","Road Traffic Act Enforcement Regulations; Road Traffic Act, Article 108-3-4"
Headphone Use,Advanced,Which statement most appropriately describes the treatment of bone-conduction and open-ear earphones?,Bone-conduction and open-ear earphones are always illegal.,Bone-conduction earphones are always legal.,Open-ear earphones are always legal.,"Assessment is made individually based on performance, volume, and ability to hear surrounding sounds",4,"National Police Agency guidance indicates that bone-conduction and open-ear earphones should not be judged solely by appearance, but rather by their performance and volume settings, making the issue context-dependent.",National Police Agency Bicycle Portal Site; National Police Agency Notice – Treatment of Bone-Conduction and Open-Ear Earphones
Lights & Illumination,Beginner,Which statement about riding a bicycle at night is correct?,Lights must be turned on at night.,"If there are streetlights, riding without lights is acceptable.",Lights are unnecessary if reflectors are installed.,Lights are unnecessary while riding on the sidewalk,1,Bicycles must use lights at night. This requirement applies regardless of street lighting or whether the bicycle is being ridden on a sidewalk.,Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Use Lights at Night
Wrong-Way Riding / Lane Position,Beginner,Which violation category most closely corresponds to riding a bicycle against traffic?,Violation of traffic lane rules.,Entering a railroad crossing when the barrier is down.,Failure to obey a traffic signal.,Riding without lights,1,"Riding on the right side of the roadway, commonly known as wrong-way riding, may constitute a violation of traffic lane rules.",Bicycle Portal Site – Enforcement Information; Traffic Lane Violations
Pedal-Equipped Moped,Advanced,Which statement is correct regarding products marketed as electric-assist bicycles that fail to meet legal standards?,"It may be classified as a general moped, requiring a license, helmet, and license plate.",Sidewalk riding is always permitted.,Anyone under 13 years old may ride freely.,"Treated the same as a bicycle, requiring neither a license nor a license plate",1,"National Police Agency materials indicate that products failing to meet the required standards may be classified as mopeds or other motor vehicles, requiring a license, helmet, and license plate.",National Police Agency Bicycle Portal Site; Published Materials – Differences from Electrically Assisted Bicycles
Smartphone Use While Riding,Beginner,What is the correct penalty amount for “mobile phone use while riding (holding)” on a bicycle?,"12,000 yen.","5,000 yen.","6,000 yen.","15,000 yen",1,"According to the Metropolitan Police Department’s list of traffic violations, the penalty for handheld mobile phone use while riding a bicycle is ¥12,000.",Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Mobile Phone Use While Riding (Handheld)
Riding Side by Side,Beginner,Which statement about riding bicycles side by side is correct?,Always permitted.,"Riding abreast is prohibited in principle, with exceptions such as where a “riding abreast permitted” sign is posted.",Always permitted on sidewalks only.,Always permitted if only children are involved,2,Riding side by side on bicycles is generally prohibited and is allowed only when a sign specifically permits it.,Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Prohibition of Parallel Riding
Penalties & Liability,Advanced,Which statement best describes recent trends regarding bicycle liability insurance?,An increasing number of local governments promote enrollment and make it mandatory or a duty to make efforts.,Enrollment is limited to high school students and older.,An increasing number of ordinances prohibit bicycle liability insurance.,There is no such thing as bicycle insurance,1,"In response to increasing high-value compensation cases, many local governments have made bicycle insurance mandatory or strongly encouraged through local ordinances.",Road Traffic Act Enforcement Regulations; Local Government Ordinances and the Bicycle Utilization Promotion Act
Traffic Ticket System,Advanced,Which example is most likely to be handled through criminal procedures rather than the blue ticket system?,Serious violations such as drunk driving or driving under the influence.,A minor lighting violation.,Improper saddle height adjustment.,Failure to use a bell,1,"According to the system guidelines, drunk driving and drunk riding, as well as other serious violations or accidents, are generally handled through criminal procedures rather than the traffic ticket system.",National Police Agency Bicycle Portal Site; Government Public Relations Online – Distinction Between Blue Tickets and Red Tickets
Basic Rules,Beginner,Which statement best reflects the Road Traffic Act’s approach to bicycle maintenance and inspection?,Operating with non-compliant brakes or lighting equipment may be regarded as a violation of the duty of safe driving.,"As long as the light is inspected, there is no problem.",Inspection and maintenance are mandatory only for commercial bicycles.,"Even if required brakes or lights do not function, a bicycle may still be ridden",1,"Proper maintenance of brakes and lights is essential for safe riding, and poor maintenance may affect liability in the event of an accident.",Road Traffic Act; Articles 63-9 and 70
Bicycle Safety Course,Beginner,"According to public guidance, under what circumstances can a cyclist be ordered to attend a Bicycle Rider Training Course?",Only people who hold a driver's license are subject to it.,A single blue ticket always results in an order being issued.,A single violation automatically results in a training order.,A rider may become subject to the program if cited for dangerous acts two or more times within three years,4,Public information materials explain that being cited for dangerous cycling behavior two or more times within three years may result in an order to attend a bicycle safety course.,Metropolitan Police Department Bicycle Portal Site; Bicycle Safety Course System – Requirements for Attendance Orders
Traffic Ticket System,Beginner,"Which system was introduced for bicycles on April 1, 2026?",Bicycle licensing system.,Bicycle inspection certification system.,Bicycle tax system.,Traffic Violation Notification System (Blue Ticket System),4,"As of April 1, 2026, a traffic ticket system, commonly known as the blue ticket system, has been introduced for certain bicycle traffic violations.",Metropolitan Police Department Bicycle Portal Site; Traffic Violation Notification System
Dangerous Conduct,Beginner,"According to Article 33 of the Road Traffic Act, what obligation does a cyclist have when crossing railroad tracks?","Even if a railroad crossing gate has started to close, you may pass through if you hurry.","You must stop before the railroad crossing, confirm safety, and only then proceed.","At railroad crossings, slowing down is sufficient; stopping is unnecessary.","Because bicycles are light vehicles, there is no duty to stop at railroad crossings",2,Article 33 of the Road Traffic Act requires vehicles to stop immediately before a blind intersection and proceed only after confirming that it is safe to do so.,"Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 33"
Turning (Left & Right),Beginner,What is the general rule for making a right turn on a bicycle?,Make a tight right turn like an automobile.,Right turns are prohibited.,Make a right turn by using the sidewalk.,Two-stage right turn,4,"Cyclists must generally make a two-stage right turn, following vehicle signals and proceeding along the outer edge of the intersection.",Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Right-Turn Procedures
Basic Rules,Beginner,"According to Article 63-11 of the Road Traffic Act, which statement about helmet use by children riding bicycles is correct?",Helmet regulations apply only to adults.,Helmet use is not mentioned anywhere in the law.,Children are required to wear helmets.,A person responsible for protecting a child must make efforts to have the child wear a bicycle helmet,4,Article 63-11 requires persons responsible for protecting children to make efforts to ensure that children wear helmets when riding bicycles.,"Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 63-11"
Basic Rules,Beginner,Under what conditions may a standard bicycle legally ride on a sidewalk?,Anytime the roadway is congested and difficult to ride on.,You may always ride on the sidewalk when it is rainy or windy.,You may ride freely on the sidewalk if there are few pedestrians.,When permitted by road signs or when riding on the roadway would be dangerous for children or others under conditions specified by law,4,"Article 63-4 permits sidewalk riding only under limited conditions, such as where traffic signs allow it or where necessary for the safety of children and similar riders.",Road Traffic Act; Article 63-4
Sidewalk Riding,Beginner,What is the basic principle regarding where bicycles should travel?,Roadway use is the principle; sidewalk use is the exception.,Sidewalk riding is the principle; roadway riding is the exception.,You may freely choose either the sidewalk or the roadway.,Only bicycle paths may be used,1,Bicycles are classified as light vehicles and are generally required to use the roadway. Sidewalk riding is limited to specific exceptions.,"Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Roadway Use Is the Rule, Sidewalk Use Is the Exception"
Railroad Crossings,Beginner,What is the penalty amount for entering a railroad crossing when the barrier is down while riding a bicycle?,"9,000 yen.","7,000 yen.","5,000 yen.","6,000 yen",2,"According to the Metropolitan Police Department’s list of traffic violations, entering a railroad crossing while the barrier is down carries a penalty of ¥7,000 for cyclists.",Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Entering a Railroad Crossing While the Barrier Is Down
Basic Rules,Beginner,Which of the following best describes the requirements for a bicycle to qualify as a “standard bicycle” under the Road Traffic Act?,A motorized bicycle powered solely by an electric motor.,Any vehicle with pedals is an ordinary bicycle regardless of size.,All bicycles with three or more wheels are ordinary bicycles.,A bicycle whose size and structure comply with Cabinet Office Ordinance standards and that is not towing another vehicle,4,An ordinary bicycle is defined as a bicycle whose size and structure meet prescribed standards and that is not towing another vehicle.,Road Traffic Act; Article 2
Basic Rules,Beginner,"According to Article 43 of the Road Traffic Act, what must a cyclist do at an intersection with a stop sign?",You may proceed without stopping as long as you slow down.,"If riding on the sidewalk, there is no need to stop at a stop sign.",You may pass through without stopping if no other vehicles are present.,"Stop before the stop line or immediately before the intersection, confirm safety, and then proceed",4,Article 43 of the Road Traffic Act requires road users to stop at the stop line or immediately before the intersection where a stop sign is present and not obstruct traffic on the crossing road.,"Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 43"
Dangerous Conduct,Beginner,What is the correct way for a standard bicycle to travel on a sidewalk?,Ride near the center of the sidewalk at a somewhat faster speed.,"Ride slowly on the side of the sidewalk closer to the roadway (or in the designated bicycle section if one exists), and stop when necessary to avoid obstructing pedestrians.",You may ride on any part of the sidewalk as long as you travel slowly.,Proceed while ringing the bell to make pedestrians move aside,2,Article 63-4 requires cyclists riding on sidewalks to travel slowly on the side closer to the roadway and to stop when necessary to avoid obstructing pedestrians.,Road Traffic Act; Article 63-4
Basic Rules,Beginner,Which statement correctly describes compliance with traffic signals when riding a bicycle through an intersection?,Cyclists are not required to obey traffic signals.,Cyclists may proceed through a red light when traffic is light.,"Bicycles must obey vehicle traffic signals, and where a pedestrian-and-bicycle signal is provided, they must obey that signal.",Bicycles are treated as pedestrians and must always obey pedestrian signals,3,"Cyclists are required to obey traffic signals, and where a pedestrian-and-bicycle signal is installed, they must follow that signal.","Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Article 7"
Basic Rules,Beginner,"According to Article 9-4 of the Enforcement Regulations, which combination of reflector colors is permitted for bicycles?",Any color is acceptable.,Red only.,Amber or red.,White or light yellow,3,The law provides that the color of reflected light from bicycle reflectors must be either amber or red.,Road Traffic Act Enforcement Regulations; Article 9-4 of the Road Traffic Act Enforcement Regulations
Traffic Signals,Beginner,What is the correct penalty amount for running a red light on a bicycle?,"5,000 yen.","7,000 yen.","12,000 yen.","6,000 yen",4,"According to the list of traffic violations, the penalty for running a red light on a bicycle is ¥6,000, while failing to obey a flashing signal is categorized as a ¥5,000 violation.",Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Failure to Obey Traffic Signals
Basic Rules,Beginner,"According to Article 18 of the Road Traffic Act, where should a bicycle normally travel on the road?","If there is a sidewalk, you must always use it.","As a rule, ride near the center of the roadway.","As a rule, ride near the left edge of the roadway.","As a rule, travel near the right edge of the roadway",3,"Light vehicles, including bicycles, are generally required to travel close to the left edge of the roadway.",Road Traffic Act; Article 18
Dangerous Conduct,Beginner,"According to Article 42 of the Road Traffic Act, at which locations is a cyclist required to slow down? (Partial excerpt)",A straight road with two lanes in one direction and good visibility.,All sections of roads where a bicycle path is installed.,All roads in residential areas.,"An intersection with poor visibility (uncontrolled intersection, non-priority road)",4,"Article 42, Item 1 requires vehicles to slow down at uncontrolled intersections where visibility to the left and right is obstructed.",Road Traffic Act; Article 42
Dangerous Conduct,Beginner,What are the legal requirements regarding lights and reflectors when riding a bicycle at night?,A bicycle light is unnecessary if you wear a reflective sash.,"At night, bicycles must have a headlight illuminated and be equipped with a rear reflector or tail light.",There are no rules concerning bicycle lights at night.,"Even at night, lights are unnecessary if streetlights are present",2,Articles 52 and 63-9 of the Road Traffic Act require bicycles operated at night to use a headlight and to be equipped with a rear reflector or taillight.,"Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Articles 52 and 63-9"
Stop Sign / Mandatory Stop,Beginner,What obligation does a cyclist have at an intersection with a stop sign?,No need to stop if no cars are coming.,It is irrelevant when riding on a sidewalk.,You must come to a complete stop and check for safety.,Slowing down alone is sufficient,3,"Where a stop sign is present, cyclists must come to a complete stop and confirm that it is safe before proceeding.",Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – Mandatory Stop
Passing Distance,Beginner,Which statement correctly describes the side-passing rule that took effect in April 2026?,Applies only on sidewalks.,You must always keep at least 2 meters of clearance.,"When sufficient passing distance is unavailable, motor vehicles must proceed at a safe speed, and bicycles must keep as close as possible to the left edge.",The obligation applies only to bicycles,3,"Under the side-passing rules that took effect in April 2026, motor vehicles must proceed at a safe speed when sufficient passing distance is unavailable, and cyclists should move as close as possible to the left edge of the roadway.","Metropolitan Police Department Bicycle Portal Site; Road Traffic Act, Article 18, Paragraphs 3 and 4"
Lights & Illumination,Beginner,What is the penalty amount for riding a bicycle without lights?,"7,000 yen.","6,000 yen.","5,000 yen.","12,000 yen",3,"According to the Metropolitan Police Department’s list of traffic violations, riding without lights on a bicycle carries a penalty of ¥5,000.",Metropolitan Police Department Bicycle Portal Site; List of Traffic Violations – Riding Without Lights
Sidewalk Riding,Beginner,"When sidewalk riding is permitted, what is the correct way for a cyclist to proceed?",Bicycles have priority over pedestrians.,You may ring the bell to make pedestrians move aside.,Ride as fast as possible near the center of the sidewalk.,"Yield to pedestrians by traveling slowly, and stop if you would obstruct them",4,"Pedestrians have priority on sidewalks. Where no designated bicycle section exists, cyclists must travel slowly on the side closer to the roadway and stop when necessary to avoid obstructing pedestrians.",Metropolitan Police Department Bicycle Portal Site; Bicycle Traffic Rules – How to Ride on Sidewalks
Basic Rules,Beginner,Which of the following most closely corresponds to an improper riding position under Articles 17 and 18 of the Road Traffic Act?,Ride near the left edge of the roadway.,Ride near the right edge of the roadway.,"As a rule, ride on the sidewalk and use the roadway only when it is dangerous.",Freely move between the sidewalk and roadway depending on the situation,1,"Light vehicles, including bicycles, are generally required to travel close to the left edge of the roadway.","Five Rules for Safe Bicycle Use | Metropolitan Police Department; Road Traffic Act, Articles 17 and 18"
