카테고리,난이도,문제,선택지 1,선택지 2,선택지 3,선택지 4,정답 번호,해설,관련 교통 규칙
브레이크,초급, 브레이크가 불량한 자전거에 관한 설명으로 올바른 것은 무엇인가?,내리막길에서만 금지된다.,제동장치가 불량한 자전거를 운전해서는 안 된다.,헬멧 착용은 법률상 전혀 규정되어 있지 않다.,브레이크 한쪽만 작동해도 문제없다.,2,브레이크가 불량한 자전거를 운전해서는 안 된다. 정지할 수 없어 위험하기 때문이다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제25조의2
기본 규칙,고급, 교통정리가 이루어지지 않는 시야가 나쁜 교차로에서 자전거의 통행 방법으로 가장 적절한 것은 무엇인가?,보도가 있으면 속도를 줄이지 않고 보도를 통행하면 된다.,시야가 좋지 않은 교차로에서는 서행하며 교차도로를 통행하는 차량이나 보행자에 주의해 진행해야 한다.,비나 강풍 등 날씨가 나쁠 때는 항상 보도를 달려도 된다.,자전거에는 서행 의무가 없고 자동차에만 적용된다.,2,도로교통법 제36조 및 제42조에 따라 신호가 없고 시야가 좋지 않은 교차로에서는 서행하면서 교차 도로의 차량과 보행자에 주의하여 진행해야 한다.,도로교통법 시행규칙 · 도로교통법·자전거 관련 법령 총론
위험행위,고급, 도로교통법 제25조의2에서 자전거를 포함한 차량의 횡단 및 유턴에 대해 규정한 내용으로 적절한 것은 무엇인가?,"보행자 또는 다른 차량 등의 정상적인 교통을 방해할 우려가 있을 때에는 횡단, 유턴 또는 방향 전환을 해서는 안 된다.",횡단 금지는 자동차에만 적용된다.,보도 통행이 원칙이고 차도는 예외이다.,도로 표지가 없으면 어디서든 횡단·유턴해도 된다.,1,"제25조의2는 보행자 또는 다른 차량의 정상적인 교통을 방해할 우려가 있는 경우 횡단, 회전, 후진을 해서는 안 된다고 규정한다.",경찰청 자전거 포털 사이트 · 경찰청 자전거 교통규칙 좌측통행
기본 규칙,초급, 자전거의 안전 이용에 관한 종합적인 사고방식으로 가장 적절한 것은 무엇인가?,사고는 운이 나빴던 것으로 생각하면 된다.,면허가 필요 없으므로 위반해도 책임이 가볍다.,"7,000엔","보행자와 같은 감각으로 이용하면 되며, 세부 규칙은 신경 쓰지 않아도 된다.",3,자전거는 경차량으로서 다양한 법적 의무와 책임을 부담한다. 규칙 이해와 안전의식이 사고 예방의 전제이다.,경찰청 자전거 포털 사이트 · 도도부현 공안위원회 규칙·도로교통법 제70조 한손운전
교차로·횡단,고급, 차도 통행 시 자전거의 통행 위치로 올바른 것은 무엇인가?,도로의 오른쪽을 자유롭게 통행할 수 있다.,도로 중앙을 통행한다.,차체 크기와 관계없이 페달이 달려 있으면 모두 일반 자전거이다.,도로의 왼쪽으로 붙어서 통행한다.,4,"자전거는 차도에서 좌측통행이 원칙이며, 역주행은 위험하고 중대한 사고로 이어질 가능성이 크다.",자전거 안전이용 5칙｜경찰청 · 도로교통법 제63조의4 제2항
우산 사용 운전,고급, 한 손 운전에 대한 정리로 가장 적절한 것은 무엇인가?,한 손 운전에 대해서는 법률상 전혀 언급되어 있지 않다.,한 손 운전은 어린이만 금지된다.,보도를 통행하면 일시정지할 필요가 없다.,우산을 쓰지 않았다면 한 손 운전은 언제나 문제없다.,3,"우산 운전뿐 아니라 안정성을 해치는 한 손 운전도 안전운전의무 위반으로 평가될 수 있으며, 운전 형태 전체를 종합적으로 판단한다.",경찰청 자전거 포털 사이트 · 자전거 운전자 강습 제도 수강 명령 불이행 시 벌칙
기본 규칙,초급,일반 자전거가 보도를 통행할 때의 의무로 가장 적절한 것은 무엇인가?,보도를 통행할 경우 자전거는 항상 내려서 끌고 가야 한다.,보도 중앙 부근을 빠른 속도로 통행해도 된다.,"보도 중앙에서 차도 쪽(보통자전거 통행 지정 부분이 있으면 그 부분)을 서행하고, 보행자의 통행을 방해할 경우 일시정지한다.","보도 중앙에서 차도 쪽 부분을 서행하고, 보행자 통행을 방해하는 경우에는 일시정지해야 한다.",4,"일반자전거는 보도를 통행할 경우 보도 중앙에서 차도 쪽 부분(일반자전거 통행지정 부분이 있으면 그 부분)을 서행해야 하며, 보행자 통행을 방해할 경우 일시정지해야 한다.",도로교통법 시행규칙 · 도로교통법 제63조의4
자전거 운전자 교육,고급,자전거 운전자 강습 수강 명령에 따르지 않은 경우의 취급으로 올바른 것은 무엇인가?,면허 벌점만 추가된다.,특별한 처벌은 없다.,자전거는 교통량이 적으면 적신호에도 진행할 수 있다.,5만 엔 이하의 벌금이 부과될 수 있다.,4,자전거 운전자 강습 수강 명령에 따르지 않으면 5만 엔 이하의 벌금이 부과될 수 있다.,경찰청 자전거 포털 사이트 · 경찰청 범칙행위 일람 속도 초과
기본 규칙,고급, 자전거의 보도 통행에 대한 도로교통법상의 기본적인 사고방식으로 가장 적절한 것은 무엇인가?,보도 통행에 관한 규정은 존재하지 않는다.,위험을 느끼면 항상 보도 통행이 의무화된다.,빨간색만 해당한다.,"차도 통행이 원칙이며, 표지·표시 또는 아동 등의 조건을 충족하는 경우에만 보도 통행이 허용된다.",4,"자전거는 경차량으로서 원칙적으로 차도를 통행해야 하며, 보도 통행은 표지 또는 특정 요건을 충족하는 경우에만 허용된다.",경시청 자전거 교통규칙 · 승차 제한 등 · 자전거 2인 탑승은 원칙적으로 금지
속도위반,고급, 자전거의 속도에 관한 설명으로 올바른 것은 무엇인가?,자전거는 표지판의 속도 제한을 받지 않는다.,속도위반은 원동기장치자전거에만 적용되는 제도이다.,"7,000엔",자전거에는 속도위반 개념이 없다.,3,"범칙행위 목록에는 경차량의 속도위반도 포함되며, 초과 속도에 따라 범칙금이 정해져 있다.",경시청 자전거 포털 사이트 · 경시청 자전거 안전이용 촉진 페달 부착 원동기장치자전거
탑승 제한,초급, 자전거의 2인 탑승에 관한 원칙으로 올바른 것은 무엇인가?,항상 허용된다.,보도 위라면 항상 허용된다.,원칙적으로 도로 중앙 부근을 통행한다.,원칙적으로 금지되어 있다.,4,경시청 교통규칙 해설에 따르면 자전거의 2인 승차는 원칙적으로 금지된다.,자전거 안전이용 5칙｜경찰청 · 도로교통법 제54조
페달 부착 원동기장치자전거,초급, 페달이 달린 차량에 관한 설명으로 올바른 것은 무엇인가?,스로틀이 있거나 전동 어시스트 기준에 부적합하면 자전거가 아니라 원동기장치자전거 등에 해당할 수 있다.,페달이 달린 차량은 모두 면허가 필요 없다.,자전거도로가 설치된 도로의 모든 구간,페달이 달려 있으면 반드시 자전거이다.,1,경시청은 페달이 있더라도 스로틀 장착형이나 전동보조 기준에 맞지 않는 차량은 자전거가 아니라 일반 원동기부자전거나 자동차에 해당할 수 있다고 안내하고 있다.,도로교통법 시행규칙 · 도로교통법 시행규칙 제9조의2의3
위험행위,고급, 자전거 경음기 사용에 대해 도로교통법 제54조의 취지에 부합하는 것은 무엇인가?,보행자에게 길을 비키게 하기 위해 항상 벨을 울려도 된다.,경음기 사용에 관한 규정은 자동차에만 적용된다.,"야간에는 전조등을 켜고, 후방에는 반사기재 또는 미등을 갖춘 자전거만 운전해야 한다.",시가지에서는 경음기 사용이 일절 금지되어 있다.,3,"도로교통법 제54조는 시야가 좋지 않은 교차로 등에서 표지로 지정된 경우나 위험 방지를 위해 불가피한 경우에만 경음기를 사용하도록 하고, 그 외 불필요한 사용은 금지하고 있다.",도로교통법 · 도로교통법 제44조·제45조
기본 규칙,고급, 보통자동차로 안전하게 차도를 통행하는 데 지장을 초래할 정도의 신체장애는 어느 법률의 별표에 규정된 장애인가?,장애인복지법.,도로운송차량법.,보도 통행 중이라면 관계없다.,노동기준법,1,제9조의2의3은 장애인복지법 별표에 규정된 장애를 준용하고 있다.,경시청 자전거 포털 사이트 · 경시청 범칙행위 일람 공안위원회 준수사항 위반
위험행위,고급, 자전거 주차에 관해 도로교통법상 ‘주차·정차 금지’ 장소로 적절한 것은 무엇인가?,자전거 주차장으로 지정된 공간.,차도 중앙.,항상 2m 이상 간격을 두어야 한다.,횡단보도 및 그 전후 일정 거리 구간,4,"횡단보도나 교차로 부근 등은 주정차 금지구역이며, 자전거도 다른 차량과 마찬가지로 주차해서는 안 되는 장소가 있다.",도로교통법 시행규칙 · 도로교통법 제24조의2·제62조의7
이어폰 사용,초급, 이어폰 등으로 주변 소리가 들리지 않는 상태의 운전과 관련되기 쉬운 위반 유형 및 범칙금의 조합으로 가장 적절한 것은 무엇인가?,"무등화 / 5,000엔.","신호위반 / 6,000엔.","6,000엔","휴대전화 사용 등(손에 들고 사용)/12,000엔",3,"이어폰 규정은 각 도도부현 공안위원회 규칙에 근거하며, 범칙행위 목록에서는 공안위원회 준수사항 위반으로 정리된다. 지역별 차이와 규정 문구 차이가 있으므로 실제로는 개별 확인이 필요하다.",도로교통법 제7조 · 신호기의 표시를 따라야 할 의무
기본 규칙,고급, 자전거 횡단대가 없는 교차로에서 자전거의 횡단 방법으로 가장 적절한 것은 무엇인가?,횡단보도에서는 자전거를 타고 통행하는 것이 의무이다.,교차로에서는 차량으로서의 통행 방법에 따라 직진·우회전·좌회전을 하면서 횡단한다.,벨을 울려 보행자를 비키게 해도 된다.,반드시 자전거에서 내려 보행자로서 횡단해야 한다.,2,자전거 횡단대가 없는 경우 자전거는 차량으로서 교차로 통행 원칙에 따라 횡단해야 한다.,"도로교통법 시행규칙・도로교통법 제24조의2, 제62조의7"
벌칙·책임,고급, 자전거 사고에서 손해배상 책임에 대한 가장 적절한 설명은 무엇인가?,자전거 사고라도 민법상 불법행위 책임에 따라 고액의 손해배상 명령이 내려질 수 있다.,책임은 자전거 판매점이 지며 운전자 본인은 책임을 지지 않는다.,차도의 오른쪽 가장자리를 통행한다. 7,자전거는 경차량이므로 인명사고를 내도 손해배상 의무가 발생하지 않는다.,1,민법 제709조 등에 근거하여 자전거 사고에서도 고액의 손해배상 책임이 인정된 판례가 다수 존재한다.,
기본 규칙,초급, 자전거로 횡단보도를 이용해 도로를 건널 경우 어떤 신호를 따라야 하는가?,항상 보행자 신호만 따른다.,「보행자·자전거 전용」이라고 표시된 보행자 신호가 있는 경우 그 신호를 따른다.,항상 차량용 신호만 따른다.,파란 신호라면 어느 쪽이든 따라도 된다. 7,2,‘보행자·자전거 전용’ 신호기가 설치된 경우 자전거는 그 신호를 따라야 한다.,도로교통법 제7조・신호기의 표시를 따라야 할 의무
기본 규칙,초급, 도로교통법 제2조에서 자전거는 어떤 구분에 포함된다고 규정되어 있는가?,보행자.,구분 없음.,자동차,경차량,4,도로교통법 제2조에 따르면 자전거는 ‘경차량(軽車両)’에 포함된다. 따라서 자전거에는 경차량으로서의 교통규칙이 적용된다.,자전거 안전이용 5원칙(경시청)・도로교통법 제2조
기본 규칙,고급,보도에서 차도로 진입할 때 자전거 운전 방법으로 안전운전의무에 가장 부합하는 것은 무엇인가?,차량용 신호가 파란불이면 안전 확인은 필요 없다.,차도의 교통상황은 확인하지 않고 횡단보도 유무만 확인한다.,보도에서 달리던 것과 같은 속도로 차도에 진입한다.,일시정지나 서행을 하며 차량과 보행자의 동향을 충분히 확인한 후 진입한다.,4,차도로 진입할 때에는 다른 차량이나 보행자와의 충돌을 피하기 위해 충분한 안전 확인이 필요하다.,"도로교통법・도로교통법 제112조, 제38조"
속도위반,고급,경차량의 속도위반 중 15km/h 미만 초과 시 범칙금은 얼마인가?,"5,000엔.","6,000엔.","7,000엔","10,000엔",2,"경찰청의 범칙행위 목록에 따르면 경차량의 속도위반은 15km/h 미만 초과 시 범칙금 6,000엔이다.",경찰청 자전거 포털사이트・경찰청 범칙행위 일람표・속도 초과
일시정지,고급,자전거의 지정장소 일시정지 불이행 등의 범칙금으로 올바른 것은 무엇인가?,"5,000엔.","6,000엔.","7,000엔","12,000엔",1,"경찰청의 범칙행위 목록에 따르면 경차량의 지정장소 일시정지 위반 등은 범칙금 5,000엔이다.",경찰청 자전거 포털사이트・경찰청 범칙행위 일람표・지정장소 일시정지 불이행 등
범칙금 제도,고급,범칙금(청색 딱지)이 아닌 형사절차로 처리되기 쉬운 사례로 가장 적절한 것은 무엇인가?,벨 미사용.,안장 높이 조절 불량.,경미한 무등화(전조등 미점등),음주운전(주취·주기 상태 운전) 등의 중대한 위반,4,"제도 설명에 따르면 음주운전, 만취운전 등의 중대한 위반이나 사고 발생 시에는 적색 딱지(형사절차) 대상이 되기 쉽다고 정리되어 있다.",경시청 자전거 포털사이트・정부홍보 온라인・청색 딱지와 적색 딱지의 구분
위험행위,고급,자전거 사고에서의 법적 책임에 대한 일반적인 설명으로 적절한 것은 무엇인가?,타인에게 손해를 입힌 경우 과실이 있으면 고액의 손해배상 책임을 질 수 있다.,자전거 보험은 존재하지 않는다.,자전거 사고에서는 가해자가 손해배상 책임을 지지 않는다.,보행자와의 사고인 경우에만 책임이 발생한다.,1,자전거 사고라도 중대한 후유장애 등이 남는 경우 수천만 엔 규모의 손해배상 책임이 발생할 수 있어 자전거 보험 가입이 강하게 권장되고 있다.,도로교통법・민법 및 도로교통법 관련 제709조 등
기본 규칙,고급,도로교통법상 ‘일반 자전거(보통자전거)’에 해당하는 조건으로 가장 적절한 설명은 무엇인가?,원동기만으로 주행하는 원동기장치자전거.,페달이 달려 있으면 크기와 관계없이 모두 일반 자전거이다.,"차체의 크기·구조가 기준에 적합하고, 다른 차량을 견인하지 않는 자전거",바퀴가 3개 이상인 자전거라면 모두 일반 자전거이다.,3,보통자전거는 차체의 크기 및 구조가 내각부령 기준에 적합하고 다른 차량을 견인하지 않는 자전거로 정의된다.,"자전거 안전이용 5원칙(경찰청)・도로교통법 제2조, 제63조의3, 시행규칙 제9조의2"
신호,고급,자전거가 준수해야 하는 신호에 관한 설명으로 가장 적절한 것은 무엇인가?,항상 보행자용 신호만 지킨다.,자전거는 신호 규제의 대상이 아니다.,자신이 통행하는 방법에 따라 마주 보는 신호를 따라야 한다.,항상 차량용 신호만 따라야 한다.,3,"경찰청 해설에 따르면 차도 주행 시에는 차량용 신호를, 보도 주행 시에는 상황에 따라 보행자용 신호를 따르는 등 자신과 마주하는 신호를 따라야 한다.",경찰청 자전거 포털사이트・경찰청 자전거 교통규칙・좌측 통행 및 마주 보는 신호기 준수
범칙금 제도,고급,자전거 범칙금(청색 딱지)의 범칙금을 납부하지 않은 경우에 대한 설명으로 올바른 것은 무엇인가?,면허 벌점만 추가된다.,반드시 당일 즉시 체포된다.,자동으로 무효가 된다.,통고센터에서의 절차를 거친 후에도 납부하지 않으면 형사절차로 이행될 수 있다.,4,"범칙금을 임시 납부하지 않으면 통고센터 절차가 진행되며, 그 후에도 납부하지 않으면 형사절차로 이행될 수 있다.",경찰청 자전거 포털사이트・경찰청 자전거 포털사이트・미납부 시 절차
기본 규칙,고급,‘자전거 및 보행자 전용’ 표지가 있는 자전거·보행자 겸용도로에서 자전거의 통행 방법으로 가장 적절한 것은 무엇인가?,보행자보다 자전거가 우선이므로 속도 제한 없이 통행할 수 있다.,도로교통법상 규정이 없으므로 자유롭게 통행할 수 있다.,항상 자전거에서 내려 끌고 걸어야 한다.,보행자의 통행을 방해하지 않는 속도와 방법으로 통행한다.,4,자전거·보행자 겸용도로에서는 자전거도 통행할 수 있으나 보행자의 통행을 방해하지 않는 속도와 방법으로 운전해야 한다.,"도로교통법・도로교통법 제2조, 제63조의4"
위험행위,고급,도로교통법 제65조에 따른 자전거 음주운전에 대한 설명으로 올바른 것은 무엇인가?,술에 취한 상태로 차량 등(자전거 포함)을 운전하는 것은 금지되어 있다.,술을 제공한 사람만 처벌 대상이며 운전자는 처벌되지 않는다.,술기운이 있어도 비틀거리지 않으면 문제없다. 7,자전거는 차량이 아니므로 음주운전 규제를 받지 않는다.,1,"도로교통법 제65조는 술에 취한 상태에서 차량 등을 운전하는 것을 금지하고 있으며, 자전거도 그 대상에 포함된다.",자전거 안전이용 5원칙(경찰청)・도로교통법 제65조
기본 규칙,고급,자전거 및 보행자 전용 표지가 있는 자전거·보행자 겸용도로에서 자전거의 통행 방법으로 가장 적절한 것은 무엇인가?,항상 자전거에서 내려 끌고 걸어야 한다.,도로교통법상 규제가 없으므로 자유롭게 통행할 수 있다.,보행자보다 자전거가 우선이므로 속도 제한 없이 통행해도 된다.,보행자의 통행을 방해하지 않는 속도와 방법으로 통행한다.,4,"자전거·보행자 겸용도로에서는 자전거도 통행할 수 있지만, 보행자의 통행을 방해하지 않는 속도와 방법으로 운전해야 한다.","도로교통법・도로교통법 제2조, 제63조의4"
측방 통과,고급,"측방 통과 규칙에서 ‘약 1m’, ‘약 20~30km/h’의 취급에 대한 설명으로 올바른 것은 무엇인가?",자전거에만 적용되는 기준이다.,고속도로 전용 기준.,법률에 고정된 수치로 명시된 절대 기준,"어디까지나 기준일 뿐이며, 구체적인 상황에 따라 판단된다.",4,"경찰청 자료에서는 1m 정도의 간격이나 시속 20~30km 정도는 어디까지나 기준 예시일 뿐이며, 도로 및 교통 상황에 따라 판단된다고 설명한다.",경찰청 자전거 포털사이트・경찰청 측방 통과 설명자료・통행 방법의 기준
위험행위,고급,도로교통법 제63조의9 및 시행규칙 제9조의3에 따른 자전거 제동장치 기준으로 적절한 것은 무엇인가?,경기용 자전거라면 공도에서도 브레이크가 필요 없다.,앞바퀴 또는 뒷바퀴 중 하나만 제동할 수 있으면 된다.,"앞바퀴와 뒷바퀴 모두 제동할 수 있어야 하며, 일정 거리 내에서 원활하게 정지할 수 있는 성능이 필요하다.",발로 땅을 끌어 멈출 수 있다면 브레이크는 필요 없다.,3,"자전거는 앞바퀴와 뒷바퀴를 제동할 수 있는 장치를 갖추고, 정해진 거리 안에서 원활하게 정지할 수 있는 성능이 필요하다.","자전거 안전이용 5원칙(경찰청)・도로교통법 제63조의9, 시행규칙 제9조의3"
헬멧,초급,자전거 헬멧의 법적 지위에 대한 설명으로 올바른 것은 무엇인가?,"착용 의무이며, 미착용 시 범칙금(청색 딱지) 대상이다.",임의사항이며 법률상 전혀 규정되어 있지 않다.,"노력의무이며, 미착용 자체를 이유로 한 범칙금 부과 유형은 없다.",미착용 시 면허정지가 된다.,3,자전거 헬멧은 노력의무이다. 미착용 자체를 이유로 하는 범칙금 항목은 없다.,경시청 자전거 포털사이트・도로교통법 제63조의11
특정소형원동기장치자전거,초급,특정소형원동기장치자전거의 연령 제한으로 올바른 것은 무엇인가?,15세 이상.,13세 이상.,연령 제한은 없다.,16세 미만은 금지,4,특정소형원동기부자전거는 면허가 필요 없지만 16세 미만의 운전은 금지되어 있다.,경시청 자전거 포털사이트・경시청 특정소형원동기부자전거 교통규칙 연령 제한
기본 규칙,고급,다음 중 시행규칙상 일반 자전거 기준을 모두 충족할 가능성이 가장 높은 것은 무엇인가?,"길이 180cm, 폭 65cm, 이륜, 사이드카 없음, 운전자 좌석과 유아용 좌석만 있음.","길이 185cm, 폭 55cm, 이륜, 측차 없음, 운전자용 좌석과 유아용 좌석만 있으며 앞뒤 브레이크가 장착되어 있다.",길이 195cm·폭 55cm·삼륜·사이드카 없음·승차장치는 운전자석과 후방 벤치 시트,길이 185cm·폭 55cm·5륜·사이드카 없음·운전자 좌석만 있음,2,"2번만이 길이·폭·바퀴 수(4륜 이하), 승차장치(유아용 좌석 외 없음), 제동장치 등의 조건을 자연스럽게 충족한다.",도로교통법 시행규칙・도로교통법 시행규칙 제9조의2의2
벌칙·책임,초급,아동 또는 유아가 자전거에 탑승하는 경우 헬멧 착용에 대한 보호자의 책임으로 가장 적절한 설명은 무엇인가?,보호자가 아니라 학교가 책임을 진다.,보호자는 아동 등이 승차용 헬멧을 착용하도록 노력할 의무가 있다.,"보호자는 반드시 헬멧을 착용시키어야 하며, 위반 시 즉시 형사처벌을 받는다.",착용시킬지 여부는 완전히 자유이며 법적 규정이 없다.,2,도로교통법 제63조의11에 따라 보호자의 ‘노력의무’로 규정되어 있다.,도로교통법 시행규칙・도로교통법 제63조의11
헬멧 규제의 차이,고급,헬멧 규제에 대한 설명으로 가장 적절한 것은 무엇인가?,"자전거는 헬멧 착용이 완전 의무이며, 특정소형원동기장치자전거는 필요 없다.",외형이 자전거와 비슷한 탈것은 모두 동일한 헬멧 규제를 받는다.,"자전거, 특정소형원동기부자전거, 일반 원동기부자전거는 법적 구분이 다르며 헬멧 규정도 동일하지 않다.",원동기장치자전거도 페달이 있으면 헬멧이 필요 없다.,3,"자전거, 특정소형원동기부자전거, 일반 원동기부자전거는 법적 구분이 다르며, 외형이 비슷해도 헬멧 규제를 동일하게 보면 안 된다.",경찰청 자전거 포털사이트・경찰청 자료・자전거와 특정소형원동기부자전거의 차이
단속 방침,고급,‘단순히 보도를 통행했을 뿐인 경우’에 대해 경찰청 FAQ에 부합하는 설명은 무엇인가?,원칙적으로 지도·경고의 대상이 된다.,위반에 해당하지 않는다.,반드시 적색 딱지(형사절차 대상)가 발부된다.,원칙적으로 즉시 청색 딱지(범칙금 부과) 대상이다.,1,경찰청 FAQ에 따르면 단순히 보도를 주행한 경우는 원칙적으로 지도·경고 대상이다.,경찰청 자전거 포털사이트・자전거 포털사이트 FAQ・지도경고 사례
위험행위,초급,도로표지 등으로 일반 자전거의 병렬 주행이 허용된 도로에서 병렬 주행 가능한 대수로 올바른 것은 무엇인가?,2대까지.,제한 없음.,3대까지,1대만 가능,1,제63조의5에 따라 표지 등으로 병진 주행이 허용되더라도 보통자전거는 2대까지만 병진할 수 있다.,도로교통법 제63조의5・보통자전거 병진이 허용되는 경우의 특례
주정차,고급,자전거의 주정차에 대한 설명으로 올바른 것은 무엇인가?,자전거라면 횡단보도 부근에도 자유롭게 주차할 수 있다.,자전거를 포함한 경차량에도 주정차 위반 및 방치주차 위반 유형이 있다.,보도 위라면 언제나 자유롭게 주차할 수 있다.,자전거에는 주정차 위반이라는 개념이 없다.,2,경찰청 범칙행위 목록에는 경차량의 주정차 위반 및 방치주차 위반도 포함되어 있다.,경찰청 자전거 포털사이트・경찰청 범칙행위 일람표・방치주차 위반 및 주정차 위반
위험행위,고급,여러 사람이 함께 자전거를 주행할 때의 도로교통법상 원칙으로 적절한 것은 무엇인가?,단체 주행이라면 교통규제 적용 대상에서 제외된다.,표지판이 없어도 원하는 대수만큼 나란히 주행해도 된다.,"원칙적으로 병진 주행은 금지이며, 표지로 허가된 경우에도 2대까지만 가능하다.",자동차만 병진(나란히 주행) 금지 대상이다.,3,"자전거의 병진은 원칙적으로 금지되며, 특별히 허가된 경우에도 2대까지만 가능하다.","도로교통법・도로교통법 제19조, 제63조의5"
