카테고리,난이도,문제,선택지 1,선택지 2,선택지 3,선택지 4,정답 번호,해설,관련 교통 규칙
기본 규칙,고급,자전거가 도로를 횡단하려고 할 때 자전거 횡단대가 있는 부근에서의 통행 방법으로 올바른 것은 무엇인가?,자전거 횡단대가 있는 장소 부근에서는 해당 자전거 횡단대를 이용해 도로를 횡단해야 한다.,보행자 횡단보도를 자전거에서 내리지 않고 그대로 타고 건너야 한다.,자전거 횡단대가 있어도 임의의 장소에서 횡단해도 된다.,횡단 시에는 반드시 자전거에서 내려 끌고 걸어야 한다.,1,도로교통법 제63조의6에 따라 자전거는 도로를 횡단할 때 자전거횡단도가 있는 장소 부근에서는 그 자전거횡단도를 이용해야 한다.,자전거 안전이용 5원칙(경찰청)・도로교통법 제63조의6
우산 사용 운전,고급,우산을 쓰고 자전거를 운전하는 행위에 대한 취급으로 가장 적절한 것은 무엇인가?,전국적으로 일률적으로 명문 규정상 항상 적법하다.,많은 지역에서 공안위원회 규칙 위반 등에 해당할 수 있으므로 원칙적으로 피해야 한다.,한 손 운전이라도 안전운전의무와는 관계없다.,비 오는 날에는 자동으로 적법해진다.,2,우산을 쓰고 운전하는 행위는 많은 지역에서 공안위원회 규칙 위반이 될 수 있으며 안전운전의무 위반으로 평가될 가능성도 있다.,경찰청 자전거 포털사이트・도도부현 공안위원회 규칙・도로교통법 제70조 우산 운전
위험행위,고급,도로교통법 제26조의2에 따른 자전거의 진로 변경에 관한 설명으로 적절한 것은 무엇인가?,뒤차의 속도나 진행 방향에 영향을 주지 않는다면 급격한 진로 변경도 허용된다.,자전거에는 진로 변경에 관한 규정이 적용되지 않는다.,뒤따르는 차량 등에 급격한 속도·방향 변경을 하게 할 우려가 있는 경우에는 진로 변경을 해서는 안 된다.,진로 변경은 언제든 자유롭게 할 수 있다.,3,"도로교통법 제26조의2는 차량이 함부로 진로를 변경해서는 안 되며, 뒤 차량에 급격한 속도·방향 변경을 강요할 우려가 있는 경우 진로 변경을 금지하고 있고, 이는 자전거에도 적용된다.",자전거 안전이용 5원칙(경찰청)・도로교통법 제26조의2
기본 규칙,고급,차로가 설치된 도로에서 자전거가 통행해야 할 위치로 가장 적절한 것은 무엇인가?,가장 오른쪽 차로를 통행한다.,차로 구분과 관계없이 비어 있는 차선을 자유롭게 선택할 수 있다.,"왼쪽 차로를 통행하고, 그 차로의 왼쪽 부분을 통행한다.",보도와 차도를 자유롭게 오갈 수 있다.,3,차로가 있는 경우에도 자전거는 원칙적으로 가장 왼쪽 차로를 이용하고 그 차로의 왼쪽 부분을 통행해야 한다.,도로교통법・도로교통법 제20조
특정소형원동기장치자전거,고급,특정소형원동기장치자전거에 대해서도 올바른 설명은 무엇인가?,번호판과 의무보험(자배책보험) 가입이 필요하다.,보도 주행 전용이며 보험은 필요 없다.,자전거와 동일하여 번호판이 필요 없다.,16세 미만도 번호판이 있으면 운전할 수 있다.,1,특정소형원동기부자전거는 자전거가 아니라 원동기부자전거의 일종이며 번호판 부착과 자배책보험 가입이 필요하다.,경찰청 자전거 포털사이트・경찰청 특정소형원동기부자전거 교통규칙・번호판 등
기본 규칙,고급,"자전거의 진로 변경, 우회전·좌회전에 관한 신호(수신호)의 취지로서 도로교통법 제53조에 부합하는 것은 무엇인가?",주변 교통에 영향을 줄 가능성이 있는 경우 미리 신호를 하고 충분한 여유를 두고 진로 변경 및 우회전·좌회전을 해야 한다.,보도에서는 방향지시 신호를 해서는 안 된다.,자전거에는 수신호 의무가 없다.,속도를 높여 한 번에 돌면 방향지시는 필요 없다.,1,방향지시는 진로 변경이나 우회전·좌회전 시 다른 교통에 위험을 주지 않기 위한 중요한 의사소통 수단이다.,도로교통법・도로교통법 제53조
음주운전,고급,자료에서 설명하는 음주 상태의 기준으로 올바른 것은 무엇인가?,호흡 1L당 알코올 0.05mg 또는 혈중알코올농도 0.1mg/ml.,호흡 1L당 알코올 농도 0.15mg 또는 혈중 알코올 농도 0.3mg/ml.,호흡 1L당 알코올 0.3mg 또는 혈중 알코올 농도 0.15mg/ml,명확한 수치 기준은 없다.,2,자료에서는 음주 상태 기준으로 호흡 0.15mg/L 또는 혈중 0.3mg/ml가 제시되어 있다.,경찰청 자전거 포털사이트・자전거 규칙 책자・음주 상태 기준
위험행위,고급,유아를 자전거에 동승시키는 경우의 취급에 대해 도로교통법 및 관련 기준의 취지에 가장 부합하는 것은 무엇인가?,법률상 유아 동승에 대한 제한은 없다.,짐받이에 아이를 세워 태워도 단거리라면 문제없다.,성인이 안고 있으면 어떤 자전거라도 동승시켜도 된다.,유아용 좌석이 자전거에 설치된 경우 등 기준을 충족하는 방법으로 동승시킨다.,4,유아 동승 자전거나 유아용 좌석 등 기준에 적합한 장치를 사용하는 것이 안전 확보의 전제이다.,"도로교통법・도로교통법 제57조, 제63조의11"
위험행위,고급,청각장애 기준으로 정해진 내용에 가장 가까운 것은 무엇인가?,5m 거리에서 60dB의 소리를 들을 수 있어야 한다.,10m 거리에서 90dB의 경음기 소리가 들릴 것.,20m 거리에서 40dB의 소리가 들릴 것,거리나 음량에 대한 구체적인 기준은 없다.,2,제9조의7의2에 따르면 10m 거리에서 90dB의 경음기 소리가 들리는 것이 청각장애 기준으로 정해져 있다.,도로교통법 시행규칙・도로교통법 시행규칙 제9조의7의2
기본 규칙,고급,보행자·자전거 전용 신호기와 자전거 횡단대가 설치된 교차로에서 자전거가 횡단 시 따라야 할 신호로 올바른 것은 무엇인가?,보행자·자전거 전용 신호기.,차량용 신호만 따른다.,특별한 규정은 없다.,보행자용 신호만 따른다.,1,도로교통법 제7조 및 시행령 제2조에 따라 해당 신호기의 표시를 따라야 한다.,"도로교통법 시행규칙・도로교통법 제7조, 도로교통법 시행규칙 제2조"
기본 규칙,고급,자전거가 보도를 통행하는 경우 통행 위치로서 도로교통법상 가장 적절한 것은 무엇인가?,건물 측 가장자리 부근.,보도 중앙부.,차도 쪽 부분,특별한 규정은 없다.,3,보도 통행 시에는 보행자의 안전을 위해 원칙적으로 차도 쪽 부분을 통행하도록 규정되어 있다.,도로교통법 시행규칙・도로교통법 제63조의4
통행금지,고급,자전거 통행금지 등의 규제가 있는 도로에 진입한 경우의 취급으로 올바른 것은 무엇인가?,자전거는 적용 대상이 아니다.,통행금지 위반이 될 수 있다.,표지판보다 자신의 판단이 우선한다.,보도를 이용하면 무조건 진입할 수 있다.,2,자전거가 규제 대상인 통행금지 구역을 통행하면 통행금지 위반이 될 수 있다.,경찰청 자전거 포털사이트・자전거 포털사이트 단속 관련・통행금지 위반
기본 규칙,초급,횡단보도 부근에서의 자전거 의무에 대해 도로교통법 제38조의 취지에 가장 부합하는 것은 무엇인가?,보행자가 있어도 속도만 줄이면 된다.,보행자보다 차량이 우선이므로 그대로 진행해도 된다.,자전거에는 횡단보도에서의 특별한 의무가 없다.,보행자가 횡단하려고 할 때에는 그 통행을 방해하지 않도록 일시정지 등의 조치를 취한다.,4,제38조는 횡단보도에서의 보행자 우선을 규정하고 있으며 자전거도 보행자의 통행을 방해해서는 안 된다.,도로교통법・도로교통법 제38조
벌칙·책임,고급,자전거 운전자 강습 제도에 대한 설명으로 가장 적절한 것은 무엇인가?,일정한 위험행위를 반복한 경우 자전거 운전자 강습을 받도록 명령받을 수 있다.,자전거에는 강습 제도가 없으므로 아무리 위반해도 강습을 받을 일은 없다.,강습은 희망자만 받을 수 있으며 위반과는 관계없다.,강습을 받지 않으면 자전거 면허가 일률적으로 취소된다.,1,도로교통법 제108조의3의4에 따라 지정된 위험행위를 반복하면 강습 명령 대상이 된다.,도로교통법 시행규칙・도로교통법 제108조의3의4
이어폰 사용,고급,골전도·오픈이어형 이어폰의 취급에 대한 설명으로 가장 적절한 것은 무엇인가?,골전도·오픈이어 이어폰은 항상 위반이다.,골전도 이어폰이라면 항상 적법하다.,오픈이어 이어폰이면 항상 적법하다.,"성능, 음량, 주변 소리의 청취 가능 여부 등을 종합해 개별적으로 판단한다.",4,경찰청 통달에 따르면 골전도·오픈이어형 이어폰도 외형만으로 일률 판단하지 않고 성능과 음량 등을 종합적으로 고려해 개별 판단한다.,경찰청 자전거 포털사이트・경찰청 통달・골전도 및 오픈이어형 기기의 취급
등화·라이트,초급,야간 자전거 주행에 대한 설명으로 올바른 것은 무엇인가?,야간에는 전조등을 켜야 한다.,가로등이 있으면 전조등 없이 주행해도 된다.,반사재가 있으면 라이트는 필요 없다.,보도 주행 중에는 라이트가 필요 없다.,1,야간에는 반드시 전조등을 켜야 하며 가로등 유무나 보도 주행 여부는 관계없다.,경시청 자전거 포털사이트・경시청 자전거 교통규칙・야간에는 라이트 점등
역주행·통행구분,초급,자전거 역주행에 가장 가까운 위반 유형은 무엇인가?,통행구분 위반.,차단기가 내려진 건널목 진입.,신호 위반,무등화(전조등 미점등),1,차도에서 우측통행(역주행)은 통행구분 위반에 해당할 수 있다.,자전거 포털사이트・단속 관련・통행구분 위반・우측 통행이나 보도 통행 등은 악질적·위험한 경우 청색 딱지 대상이 될 수 있음
페달 부착 원동기장치자전거,고급,기준에 맞지 않는 ‘전동 어시스트 자전거’ 제품에 대한 설명으로 올바른 것은 무엇인가?,"일반 원동기장치자전거 등에 해당하며, 면허·헬멧·번호판 등이 필요할 수 있다.",보도 주행은 항상 가능하다.,13세 미만이면 자유롭게 운전할 수 있다.,자전거와 동일하게 취급되며 면허와 번호판도 필요 없다.,1,경찰청 자료에 따르면 기준에 맞지 않는 제품은 일반 원동기부자전거 등에 해당하여 면허·헬멧·번호판 등이 필요할 수 있다.,경찰청 자전거 포털사이트・경찰청 공표 자료・전동어시스트 자전거와의 차이
주행 중 스마트폰 사용,초급,자전거의 ‘휴대전화 사용 등(손에 들고 사용)’ 위반 범칙금으로 올바른 것은 무엇인가?,"12,000엔.","5,000엔.","6,000엔","15,000엔",1,"경시청 범칙행위 목록에 따르면 경차량의 휴대전화 사용(손에 들고 사용) 범칙금은 12,000엔이다.",경시청 자전거 포털사이트・경시청 범칙행위 일람표・휴대전화 사용 등(손에 들고 사용)
병렬 주행,초급,자전거 병렬 주행에 대한 설명으로 올바른 것은 무엇인가?,항상 허용된다.,"원칙적으로 금지이며, 병진 가능 표지 등이 있는 경우에만 예외적으로 허용된다.",보도 위에서만 항상 허용된다.,아이들끼리라면 항상 허용된다.,2,자전거 병진은 원칙적으로 금지되며 병진 가능 표지가 있는 경우에만 예외적으로 허용된다.,경시청 자전거 포털사이트・경시청 자전거 교통규칙・병진 금지
벌칙·책임,고급,자전거 손해배상책임보험 등의 최근 경향에 대한 설명으로 가장 적절한 것은 무엇인가?,"가입을 권장하며, 의무 또는 노력의무로 하는 지자체가 늘고 있다.",가입은 고등학생 이상만 가능하다.,가입을 금지하는 조례가 늘어나고 있다.,자전거 보험이라는 제도는 존재하지 않는다.,1,고액 배상 사례 증가에 따라 많은 지방자치단체가 자전거 보험 가입을 의무 또는 노력의무로 규정하고 있다.,도로교통법 시행규칙・각 지방자치단체 조례 및 자전거 활용 추진법
범칙금 제도,고급,범칙금(청색 딱지)이 아닌 형사절차로 처리되기 쉬운 사례에 대한 설명으로 가장 적절한 것은 무엇인가?,음주운전·만취운전 등의 중대한 위반.,경미한 무등화 주행.,안장 높이 조절 불량,벨 미사용,1,제도 설명에서는 음주운전·만취운전 등의 중대한 위반이나 사고 발생 시 적색 딱지(형사절차) 대상이 되기 쉽다고 정리되어 있다.,경찰청 자전거 포털사이트・정부홍보 온라인・청색 딱지와 적색 딱지의 구분
기본 규칙,초급,자전거의 유지·점검에 대한 도로교통법상의 취지에 부합하는 것은 무엇인가?,기준에 맞지 않는 브레이크나 등화류로 주행하면 안전운전의무 위반으로 판단될 수 있다.,라이트만 점검하면 문제없다.,점검·정비 의무는 사업용 자전거에만 있다.,의무 장비인 브레이크나 라이트가 작동하지 않아도 자전거라면 운전할 수 있다.,1,"안전한 운전을 위해 브레이크와 등화장치 정비는 필수이며, 정비 불량은 사고 시 책임에도 영향을 준다.","도로교통법・도로교통법 제63조의9, 제70조"
자전거 운전자 교육,초급,자전거 운전자 강습 수강 명령이 내려지는 요건으로서 안내 내용에 부합하는 것은 무엇인가?,면허 보유자만 대상이다.,청색 범칙금 1회를 받으면 반드시 명령이 내려진다.,위반을 1회만 해도 반드시 명령이 내려진다.,위험행위로 3년 이내 2회 이상 적발되면 대상이 될 수 있다.,4,홍보 자료에 따르면 위험행위로 3년 이내 2회 이상 검거되면 자전거 운전자 강습 수강 명령 대상이 될 수 있다.,경시청 자전거 포털사이트・자전거 운전자 강습 제도・수강 명령 요건
범칙금 제도,초급,2026년 4월 1일부터 자전거에 도입된 제도로 올바른 것은 무엇인가?,자전거 면허 제도.,자전거 차량검사 제도.,자전거세 제도,교통범칙 통고제도(청색 딱지 제도),4,2026년 4월 1일부터 자전거에도 일정한 교통위반에 대해 교통범칙통고제도(청색 딱지)가 도입되었다.,경시청 자전거 포털사이트・경시청 자전거 포털사이트・교통범칙 통고 제도
위험행위,초급,자전거가 철도 건널목을 통과할 때의 의무로서 도로교통법 제33조에 따라 올바른 것은 무엇인가?,건널목 차단기가 내려오기 시작해도 서두르면 통과해도 된다.,건널목 직전에서 일시정지하고 안전을 확인한 후가 아니면 진행해서는 안 된다.,건널목에서는 서행하면 일시정지하지 않아도 된다.,자전거는 경차량이므로 철도 건널목에서 정지 의무가 없다.,2,도로교통법 제33조에 따라 차량 등은 철도건널목 직전에서 일시정지하고 안전을 확인한 후에만 진행해야 한다.,자전거 안전이용 5원칙(경시청)・도로교통법 제33조
우회전·좌회전,초급,자전거의 우회전 방법으로 원칙적으로 올바른 것은 무엇인가?,자동차와 같은 소회전 우회전.,우회전은 금지된다.,보도를 이용해 우회전한다.,2단계 우회전,4,자전거의 우회전은 원칙적으로 2단계 우회전이다. 차량 신호 등에 따라 교차로의 가장자리를 따라 진행한다.,경시청 자전거 포털사이트・경시청 자전거 교통규칙・우회전 방법
기본 규칙,초급,도로교통법 제63조의11에 따른 아동·유아의 자전거 헬멧 착용에 관한 설명으로 올바른 것은 무엇인가?,헬멧 착용 규정은 성인에게만 적용된다.,헬멧 착용은 법률상 전혀 규정되어 있지 않다.,아동·유아는 헬멧 착용 의무가 있다.,아동·유아를 보호할 책임이 있는 사람은 승차용 헬멧을 착용시키도록 노력해야 한다.,4,제63조의11은 아동 또는 유아를 보호할 책임이 있는 사람에게 자전거 탑승 시 헬멧을 착용시키도록 노력할 것을 요구하고 있다.,자전거 안전이용 5원칙(경시청)・도로교통법 제63조의11
기본 규칙,초급,일반 자전거가 보도를 통행할 수 있는 조건으로 가장 적절한 것은 무엇인가?,차도가 혼잡하여 주행하기 어려우면 언제든지 보도를 통행할 수 있다.,비나 강풍 등 날씨가 나쁘면 항상 보도를 달려도 된다.,보행자가 적으면 자유롭게 보도를 주행해도 된다.,도로표지 등으로 허용된 경우나 아동 등의 차도 통행이 위험하다고 인정되는 경우 등 법령에서 정한 조건에 해당할 때,4,제63조의4는 도로 표지 등에 의한 허가나 아동 등의 안전 확보를 위한 경우 등 제한된 조건에서만 보도 통행을 허용한다.,도로교통법・도로교통법 제63조의4
보도 통행,초급,자전거 통행 장소에 관한 기본 원칙으로 올바른 것은 무엇인가?,"차도 통행이 원칙이며, 보도 통행은 예외이다.",보도 통행이 원칙이고 차도는 예외이다.,보도와 차도 중 어느 쪽이든 자유롭게 선택할 수 있다.,자전거도로만 통행 가능,1,"자전거는 경차량으로서 차도 통행이 원칙이며, 보도 통행은 표지 등이 있는 경우 등의 예외에 한한다.","경시청 자전거 포털사이트・경시청 자전거 교통규칙・차도가 원칙, 보도는 예외"
건널목,초급,자전거의 차단기가 내려진 건널목 진입 위반 범칙금으로 올바른 것은 무엇인가?,"9,000엔.","7,000엔.","5,000엔","6,000엔",2,"경시청 범칙행위 목록에 따르면 경차량의 차단기 내려진 건널목 진입 위반 범칙금은 7,000엔이다.",경시청 자전거 포털사이트・경시청 범칙행위 일람표・차단기 내려진 철도건널목 진입
기본 규칙,초급,도로교통법상 ‘일반 자전거(보통자전거)’에 해당하는 조건으로 가장 적절한 것은 무엇인가?,전동기만으로 주행하는 원동기장치자전거.,차체 크기와 관계없이 페달이 달려 있으면 모두 일반 자전거이다.,삼륜 이상 자전거는 모두 일반 자전거이다.,차체의 크기·구조가 내각부령 기준에 적합하고 다른 차량을 견인하지 않는 자전거,4,보통자전거는 차체 크기와 구조 기준에 적합하고 다른 차량을 견인하지 않는 자전거를 말한다.,도로교통법・도로교통법 제2조
기본 규칙,초급,도로교통법 제43조에 따라 ‘정지(止まれ)’ 표지가 있는 교차로에서 자전거의 행동으로 올바른 것은 무엇인가?,서행하면 일시정지하지 않아도 된다.,보도를 통행 중이면 일시정지할 필요가 없다.,다른 차량이 없으면 정지하지 않고 통과해도 된다.,정지선 앞 또는 교차로 직전에서 일시정지하고 안전을 확인한 후 진행한다.,4,도로교통법 제43조는 ‘정지(止まれ)’ 표지가 있는 곳에서 정지선 직전 등에서 일시정지하고 교차도로 차량 등의 진행을 방해하지 말 것을 규정하고 있다.,자전거 안전이용 5원칙(경시청)・도로교통법 제43조
위험행위,초급,일반 자전거가 보도를 통행하는 경우의 통행 방법으로 올바른 것은 무엇인가?,보도 중앙 부근을 다소 빠른 속도로 통행한다.,"보도의 중앙에서 차도 쪽(보통자전거 통행지정 부분이 있는 경우 그 부분)을 서행하고, 보행자의 통행을 방해할 때는 일시정지한다.",보도의 어느 부분이든 서행만 하면 자유롭게 진행할 수 있다.,벨을 울려 보행자를 비키게 하면서 통행한다.,2,"제63조의4에 따라 보도 통행 시에는 보도 중앙에서 차도 쪽 부분을 서행하고, 보행자의 통행을 방해하는 경우에는 일시정지해야 한다.",도로교통법・도로교통법 제63조의4
기본 규칙,초급,자전거가 교차로를 통행할 때 신호 준수에 관한 설명으로 올바른 것은 무엇인가?,자전거는 신호기의 지시에 따를 의무가 없다.,자전거는 교통량이 적으면 적색 신호에서도 진행할 수 있다.,"자전거는 차량으로서 차량용 신호를 따라야 하며, 보행자·자전거 전용 신호가 있는 경우에는 그 신호를 따라야 한다.",자전거는 보행자로 취급되므로 모든 경우 보행자 신호를 따른다.,3,"자전거는 차량으로서 신호기의 표시를 따라야 하며, 보행자·자전거 전용 신호가 있는 경우에는 그 신호를 따라야 한다.",자전거 안전이용 5원칙(경시청)・도로교통법 제7조
기본 규칙,초급,시행규칙 제9조의4가 정하는 자전거 반사재의 반사광 색상 조합으로 올바른 것은 무엇인가?,임의의 색상이면 된다.,적색만 가능하다.,주황색 또는 적색,백색 또는 담황색,3,법 조문상 반사기의 반사광 색상은 ‘주황색 또는 적색’이어야 한다.,도로교통법 시행규칙・도로교통법 시행규칙 제9조의4
신호,초급,자전거 신호위반의 범칙금으로 올바른 것은 무엇인가?,"5,000엔.","7,000엔.","12,000엔","6,000엔",4,"범칙행위 목록에 따르면 자전거의 신호위반은 6,000엔이며, 점멸신호 위반은 5,000엔으로 정리되어 있다.",경시청 자전거 포털사이트・경시청 범칙행위 일람표・신호위반
기본 규칙,초급,자전거의 통행 위치에 대해 도로교통법 제18조에 따른 원칙으로 올바른 것은 무엇인가?,보도가 있으면 항상 보도를 통행해도 된다.,원칙적으로 도로 중앙 부근을 통행한다.,원칙적으로 도로의 왼쪽 가장자리 쪽을 통행한다.,원칙적으로 도로의 오른쪽 가장자리를 통행한다.,3,자전거를 포함한 경차량은 원칙적으로 도로의 왼쪽 가장자리를 따라 통행해야 한다.,도로교통법・도로교통법 제18조
위험행위,초급,자전거가 서행 의무를 지는 장소로서 도로교통법 제42조에 명시된 것은 무엇인가? (일부 발췌),편도 2차선 직선도로(시야 양호).,자전거도로가 설치된 도로의 모든 구간.,주택가의 모든 도로,좌우 시야가 확보되지 않는 교차로(신호 없는 교차로·비우선도로 측),4,제42조 제1호에 따라 좌우 시야가 확보되지 않는 비신호 교차로 등에서는 서행 의무가 있다.,도로교통법・도로교통법 제42조
위험행위,초급,야간에 자전거를 운전할 때 등화 및 반사기재에 관한 의무로 올바른 것은 무엇인가?,반사띠를 착용하고 있으면 자전거 전조등은 필요 없다.,야간에는 전조등을 켜고 후방에는 반사기재 또는 후미등을 갖춘 자전거가 아니면 운전해서는 안 된다.,자전거에는 야간 점등에 관한 규정이 없다.,야간이라도 가로등이 있으면 전조등 점등은 필요 없다.,2,도로교통법 제52조 및 제63조의9에 따라 야간에는 전조등을 켜고 후방에 반사기 또는 후미등을 갖춘 자전거만 운전할 수 있다.,"자전거 안전이용 5원칙(경시청)・도로교통법 제52조, 제63조의9"
일시정지,초급,일시정지 표지가 있는 교차로에서 자전거의 의무로 올바른 것은 무엇인가?,자동차가 오지 않으면 정지할 필요가 없다.,보도 통행 중이라면 해당되지 않는다.,반드시 일시정지하고 안전을 확인한다.,서행만 하면 충분하다.,3,‘정지’ 표지가 있는 곳에서는 자전거도 반드시 일시정지하고 안전을 확인해야 한다.,경시청 자전거 포털사이트・경시청 자전거 교통규칙・일시정지
측방 통과,초급,2026년 4월 시행된 측방 통과 규칙에 대한 설명으로 올바른 것은 무엇인가?,보도에만 적용된다.,항상 2m 이상 간격을 두어야 한다.,"충분한 간격이 없을 때에는 자동차는 안전한 속도로, 자전거는 가능한 한 왼쪽 가장자리로 붙는다.",자전거에만 부과되는 의무이다.,3,"2026년 4월 시행된 측방 통과 규칙에 따라 충분한 간격이 없을 때 자동차 등은 안전한 속도로 진행해야 하며, 자전거 등은 가능한 한 왼쪽 가장자리로 붙어야 한다.","경시청 자전거 포털사이트・도로교통법 제18조 제3항, 제4항"
등화·라이트,초급,자전거 무등화(전조등 미점등) 위반의 범칙금으로 올바른 것은 무엇인가?,"7,000엔.","6,000엔.","5,000엔","12,000엔",3,"경시청 범칙행위 목록에 따르면 경차량의 무등화 위반 범칙금은 5,000엔이다.",경시청 자전거 포털사이트・경시청 범칙행위 일람표・무등화
보도 통행,초급,보도 통행이 허용된 경우 자전거의 통행 방법으로 올바른 것은 무엇인가?,보행자보다 자전거가 우선이다.,벨을 울려 보행자를 비키게 해도 된다.,보도 중앙을 가능한 한 빠르게 진행한다.,"보행자 우선으로 서행하고, 방해가 될 경우 일시정지한다.",4,"보도 통행 시에는 보행자가 우선이다. 보통자전거 통행 지정 부분이 없는 경우 차도 쪽을 서행하고, 보행자의 통행을 방해할 때는 일시정지해야 한다.",경시청 자전거 포털사이트・경시청 자전거 교통규칙・보도 통행 시 통행 방법
기본 규칙,초급,자전거의 위반적인 통행 위치로서 도로교통법 제17조 및 제18조의 내용에 가장 가까운 것은 무엇인가?,차도의 왼쪽 가장자리를 따라 통행한다.,차도의 오른쪽 가장자리를 통행한다.,"원칙적으로 보도를 통행하고, 위험할 때만 차도를 통행한다. 7",보도와 차도를 상황에 따라 자유롭게 오간다.,1,자전거를 포함한 경차량은 원칙적으로 도로의 왼쪽 가장자리를 따라 통행해야 한다.,"자전거 안전이용 5원칙(경시청)・도로교통법 제17조, 제18조"
