Categoría,Nivel de dificultad,Enunciado del problema,Opción 1,Opción 2,Opción 3,Opción 4,Número de respuesta correcto,Resumen,Normas de tráfico relacionadas
acto peligroso,上級,¿Cuál de las siguientes explicaciones es la más adecuada respecto al tráfico ciclista en las rutas y zonas escolares?,No se aplican restricciones a las bicicletas en absoluto.,"Debido a las normativas locales de tráfico, el tráfico de bicicletas está prohibido en determinadas horas, Pueden aplicarse regulaciones especiales como obligaciones de conducción lenta.",Las bicicletas están prohibidas en todo el país,"Las bicicletas, al igual que los coches, siempre deben circular por el lado derecho",2,"Las normativas de las rutas escolares se aplican mediante las normas de tráfico establecidas por cada Comisión de Seguridad Pública prefectural,",Reglamentos de Aplicación de la Ley de Tráfico Vial
Política de Aplicación,上級,¿Cuál de las siguientes explicaciones es la más adecuada respecto al tráfico ciclista en las rutas y zonas escolares?,Todas las infracciones resultan en multas azules inmediatas.,El sistema Blue Ticket abolió el sistema de advertencia de orientación,Caminar por las aceras siempre resulta en una multa roja.,"Las infracciones están básicamente sujetas a advertencias de orientación, pero las infracciones maliciosas o peligrosas pueden ser procesadas. Convertirse en",4,Hay casos en los que también se ven afectadas las bicicletas.,Ley de Tráfico / Normas de Regulación del Tráfico Artículo 4
Mientras uso mi smartphone,上級,"En cuanto al resumen actual del seguimiento y funcionamiento de un smartphone fijado al titular,
¿Cuál es el más apropiado?","Mientras esté arreglado, siempre es legal",No existen regulaciones legales sobre los smartphones fijos.,"Aunque existen algunos acuerdos que no se engloban en 'tenencia',
Si se crea un peligro, pueden surgir infracciones a las obligaciones de conducción segura y otros problemas.","Incluso si se fija, siempre constituye una violación del artículo 71, párrafo 5, punto 5, ""Retención""",3,"Según las preguntas frecuentes de la Agencia Nacional de Policía, incluso después de la introducción de la multa azul, las infracciones en bicicleta son básicamente",Portal de Bicicletas de la Agencia Nacional de Policía
Conducción segura,上級,"La forma más adecuada de proceder con una bicicleta en cruces con mala visibilidad o zonas peligrosas es:
¿Cuál es?",No hace falta comprobar si no hay peatones,Mantén la velocidad y pasa de golpe,No hay obligación de control de seguridad sin señalización,Avanza al ritmo y método más seguros posibles según la situación,4,"Aunque estas se consideran advertencias de orientación, las infracciones maliciosas y peligrosas se explican como sujetas a arresto","Guías, advertencias y arrestos del portal de bicicletas"
Reglas básicas,上級,"Como método para girar a la derecha en una bicicleta que es un vehículo ligero, los siguientes son los siguientes métodos que cumplen con el Artículo 4, Párrafo 3 de la Ley de Tráfico.
¿Cuál es?",Acércate al borde derecho de la carretera con antelación antes de girar a la derecha.,Muévete al centro de la carretera con antelación y luego gira a la derecha.,No existe un método fijo para girar a la derecha,"Antes, realiza un giro a la derecha en dos fases por el borde izquierdo de la carretera y continúa por el borde de la intersección",4,"Según la opinión de la policía basada en informes, los smartphones fijos no se consideran 'holding'",Portal de Bicicletas de la Agencia Nacional de Policía
correr lado a lado,上級,¿Cuál de las siguientes es una excepción adecuada para permitir el viaje en paralelo en bicicleta?,Cuando quieres tener una conversación,Solo para bicicletas infantiles,Si se instala un signo traslacional,Siempre posible en las aceras,3,"Aunque existen interpretaciones injustas, si la conducción se vuelve peligrosa, otras evaluaciones, como las violaciones de las obligaciones de conducción segura, pueden ser problemáticas.",Ley de Tráfico Vial y Opiniones de la Policía basadas en las noticias
Restricciones de la atracción,上級,¿Cuál es la excepción más adecuada para ciclistas de dos personas?,Cualquiera puede montar a dos personas en distancias cortas,Pon a un amigo atrás,"Mientras la carretera esté despejada, siempre es posible.","Cuando la ley lo permite, como colocar a los bebés en una silla infantil",4,"Los asientos de dos asientos están generalmente prohibidos, pero existen excepciones legalmente permitidas, como colocar a los bebés en asientos para bebés",Artículo 71-5 y Artículo 70
Reglas básicas,上級,¿Qué rango de velocidad deben regular legalmente las bicicletas con asistencia eléctrica para que se estructuren sin ayuda del motor a un rango de km/h?,10 km/h o más,20 km/h o más,24 km/h o más,30 km/h o más,3,"Según el artículo 1-3, se exige que las fuerzas auxiliares del motor no se apliquen a velocidades superiores a 24 km/h",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,"¿Cuál de las siguientes condiciones es la más adecuada para calificar como ""vehículo ordinario"" según la Ley de Tráfico Vial?",10 km/h o más,"Mientras tenga pedales, todos son coches estándar independientemente del tamaño.",Bicicletas motorizadas que circulan únicamente por un vehículo motorizado,Bicicletas cuyo tamaño y estructura corporal cumplen con los estándares y no remolcan otros vehículos,4,Una bicicleta normal se define como aquella cuyo tamaño y estructura corporal cumplen con los estándares establecidos por las ordenanzas de la Oficina del Gabinete y que no remolcan otros vehículos,Portal de bicicletas Normas de tráfico Velocidades seguras y métodos
Conducir bajo los efectos del alcohol,上級,¿Cuál de las siguientes leyes se acerca más a una ley que podría convertirse en un problema como 'asistencia' relacionada con la conducción bajo los efectos del alcohol en bicicleta?,Promover el uso del casco,Prestar bicicletas o proporcionar alcohol a personas que probablemente conducirán después de beber ・Solicita un conductor,Guía transporte público,Persuadir al borracho para que deje de conducir,2,"Según materiales conocidos, no solo conducir ebrio, sino también la asistencia como proporcionar alcohol, bicicletas o solicitar un conductor puede ser problemática",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Sistema de Billetes Verdes,上級,¿Qué plazo provisional de pago se alinea con la explicación del sistema al admitir una infracción con una multa azul para bicicletas?,En un plazo de principio de 7 días desde el día siguiente a la entrada en vigor,El día de la aplicación,En un plazo de 30 días tras la notificación,Sin fecha límite,1,"Según la explicación del sistema, si se reconoce una infracción, esta se implementará a partir del día siguiente al inicio de la aplicación.","Artículo 34, párrafos 1 y 3 de la Ley de Tráfico por Carretera"
Conducir bajo los efectos del alcohol,初級,¿Cuál de las siguientes afirmaciones sobre conducir ebrio en bicicleta es correcta?,"Las bicicletas no son vehículos y, por tanto, están excluidas",Conducir ebrio está prohibido incluso en bicicleta.,Solo está prohibida la embriaguez; se excluye a quienes estén bajo los efectos del alcohol.,Prohibición solo nocturna,2,"En principio, el proceso consiste en realizar un pago provisional en un plazo de 7 días",Portal de Bicicletas de la Agencia Nacional de Policía
Ciclomotores pequeños especificados,上級,¿Cuál de las siguientes afirmaciones sobre bicicletas pequeñas específicas es correcta?,"Si tienes pedales, automáticamente se convierte en un ciclomotor pequeño especificado.",一般原付と完全に同一ルールで、年齢制限もない,Es una bicicleta en sí misma y está clasificada como un vehículo ligero,"Si se cumplen ciertos requisitos, no se requiere licencia, pero en lugar de bicicletas, Es una bicicleta pequeña y motorizada especificada",4,Conducir ebrio está prohibido incluso en bicicleta. Se considerará una infracción grave.,Reglamento de la Comisión de Seguridad Pública Prefectural y Normas de la Agencia Nacional de Policía Explicación: Señales de entrada paralela
Mientras uso mi smartphone,初級,"¿Cuál de los siguientes es el más cercano a un acto prohibido de ""montar en bicicleta mientras se monta""?",Coge tu mano mientras conduces (excepto cuando te pares) para hacer llamadas o mirando la pantalla,Sigue exactamente las mismas normas que los ciclomotores normales y no tiene restricciones de edad,Llevar un smartphone en la bolsa,"Llevar un smartphone, incluso cuando el coche está parado,",1,"Las bicicletas pequeñas motorizadas especificadas no son bicicletas, sino un tipo de ciclomotor; cumplen ciertos requisitos y no requieren licencia, pero legalmente se clasifican por separado de las bicicletas",Portal de Bicicletas de la Agencia Nacional de Policía
Bicicleta de asistencia eléctrica,上級,"¿Cuál de los siguientes es el más cercano a un acto prohibido de ""montar en bicicleta mientras se monta""?",PSC Mark,PSE Mark,Llevar un smartphone en la bolsa,JIS Mark,3,"Según el sistema, mientras se va en bicicleta (excepto cuando se detiene), se utiliza un smartphone o dispositivo similar",Sillas infantiles para el uso seguro de bicicletas de la Agencia Nacional de Policía
acto peligroso,上級,Montar en bicicleta dentro de túneles o por puentes estrechos que cumplan con las obligaciones de conducir seguro es ¿Cuál es?,"Para evitar molestar a los coches de detrás, aumenta la velocidad. Pásalo de una sola vez","Conduce con las luces apagadas, lo que dificulta ver solo tu coche. para hacer",Procede despacio mientras revisas a fondo la seguridad tanto en la parte trasera como en la delantera,"Dado que la obligación de conducción segura solo se aplica a los automóviles, las bicicletas pueden circular a su propia velocidad",3,Está prohibido sostener el teléfono mientras lo sostienes en la mano o miras la pantalla.,Reglamentos de Aplicación de la Ley de Tráfico Vial
Paso en la acera,上級,¿Cuál es el caso más adecuado para que las bicicletas circulen por las aceras?,"En los días con mucho equipaje, siempre puedes caminar por la acera.","Cuando se permite señalización, etc., o cuando hay excepciones como las de menores de 13 años o mayores de 70 años",Cuando tienes prisa,"Si sientes que hay demasiados coches, puedes moverte libremente por la acera.",2,"Según el sistema de aprobación de tipos de la Agencia Nacional de Policía, la marca TS se muestra en bicicletas equipadas con asistencia a la conducción que cumplen con los estándares",Reglamento de Aplicación de la Ley de Tráfico Vial Artículo 1-3
Sistema de Billetes Verdes,初級,¿Cuál es el caso más adecuado para que las bicicletas circulen por las aceras?,15 años o más,18 años o más,16 años o más,Todas las edades,3,"En zonas con mala visibilidad y alto riesgo de contacto, conducir despacio y garantizar controles de seguridad adecuados es esencial",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Reglas básicas,上級,¿Cuál de las siguientes es la comprensión correcta de la relación de fuerza auxiliar de bicicletas con asistencia eléctrica en el rango de velocidades entre 10 km/h y 24 km/h?,"Cuanto mayor es la velocidad, menor es la relación entre la fuerza auxiliar y la fuerza humana","Independientemente de la velocidad, siempre puede ayudar a la mano de obra en una proporción constante.",No se debe usar ninguna potencia auxiliar dentro de este rango de velocidades,"Más allá de 20 km/h, el límite de la relación de fuerza auxiliar desaparece.",1,"El recorrido por la acera solo está permitido cuando hay señales, cuando una persona menor de 13, 70 años o más, o con discapacidades físicas conduce, o en circunstancias inevitables","Artículo 2, Artículo 63-3 de la Ley de Tráfico Viario, Reglamento de Aplicación Artículo 9-2"
Reglas básicas,上級,¿Cuál de las siguientes condiciones se alinea mejor con la intención del Artículo 63-4 de la Ley de Tráfico Vial para permitir que las bicicletas ordinarias circulen por las aceras?,"Las bicicletas, en principio, se utilizan en las aceras, siendo la excepción del tráfico de carretera","El uso de aceras solo está permitido cuando está señalizado por señales de tráfico, o cuando es peligroso para niños o personas mayores circular por la carretera",Las bicicletas siempre pueden pasar por aceras anchas.,Los usuarios de bicicletas pueden usar las aceras siempre que se sientan peligrosos.,2,"Según la explicación del sistema, el Ticket Azul para bicicletas suele estar limitado a mayores de 16 años.",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,初級,¿Cuál de las siguientes condiciones se alinea mejor con la intención del Artículo 63-4 de la Ley de Tráfico Vial para permitir que las bicicletas ordinarias circulen por las aceras?,Automóvil,peatón,Vehículos ligeros,Sin especificación,3,"El artículo 1-3, Punto 1, Sección (2) establece un límite superior mediante fórmulas que reducen la relación de fuerzas auxiliares según la velocidad",Ley de Tráfico en Carretera / Materiales informativos: Asistencia para la conducción bajo los efectos del alcohol
acto peligroso,初級,¿Cuál de las siguientes condiciones se alinea mejor con la intención del Artículo 63-4 de la Ley de Tráfico Vial para permitir que las bicicletas ordinarias circulen por las aceras?,"Con un dispositivo de abordaje, puedes llevar a tantas personas como quieras.","Conducir con personas en lugares sin instalaciones de embarque está generalmente prohibido, y el número de pasajeros en vehículos ligeros está restringido por las normativas de la Comisión de Seguridad Pública",Siempre se permite una persona en la silla y otra en la caja de carga.,No existen normas sobre el número de pasajeros en bicicleta.,2,"Las bicicletas ordinarias solo pueden circular por aceras si están señalizadas por señales de tráfico, o cuando es peligroso para niños, bebés, personas mayores circular por la carretera, o en otras circunstancias inevitables",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,¿Qué método se alinea mejor con la intención del Artículo 25 de la Ley de Tráfico Vial al girar a la izquierda cuando una bicicleta entra en una instalación fuera de la carretera?,Cerca del borde derecho y luego gira a la izquierda.,Puedes girar bruscamente a la izquierda desde cerca del centro de la carretera,Muévete lo más lejos posible hacia el extremo izquierdo de la carretera por adelantado y luego gira lentamente a la izquierda,Solo cruza la acera y gira,3,"El artículo 2 de la Ley de Tráfico Vial estipula que las bicicletas se clasifican como ""vehículos ligeros"".",Portal de Bicicletas de la Agencia Nacional de Policía Sitio Pago Provisional
Política de Aplicación,上級,"¿Qué ejemplos de Multas Azules aparecen indicadas en las Preguntas Frecuentes de la Agencia Nacional de Policía no como advertencia, sino como Multa Azul?",Caminando despacio por las aceras,No llevar casco,Entrada en el paso de barrera,Aplicación de material reflectante,3,"Según los artículos 55 y 57 de la Ley de Tráfico Vial, el transporte de personas en lugares sin instalaciones de embarcamiento está generalmente prohibido, y la Comisión de Seguridad Pública establece estándares para el número de pasajeros en vehículos ligeros.",Portal de Bicicletas de la Agencia Nacional de Policía
Intersecciones y cruces,上級,¿Cuál es la forma adecuada de manejar las bicicletas cerca de los cruces?,Los pasos peatonales tienen prioridad para los peatones y no deben obstruir el paso peatonal,Tocar la campana permite el paso prioritario,Vehículos ligeros,Las bicicletas no deben cruzar pasos de peatones.,1,"Al girar a la izquierda para salir de la carretera, según el artículo 25 de la Ley de Tráfico, debes mantenerte lo más cerca posible del borde izquierdo de la carretera y reducir la velocidad antes de girar a la izquierda",Preguntas frecuentes sobre el portal de bicicletas: Ejemplos de infracciones maliciosas y peligrosas
acto peligroso,上級,¿Qué obligación según el artículo 72 de la Ley de Tráfico Circulante es apropiada cuando una bicicleta provoca un accidente de tráfico?,"Si la otra persona parece estar levemente herida, puedes abandonar la zona","Los conductores deben dejar de conducir de inmediato, prestar primeros auxilios a los heridos, tomar medidas de prevención de riesgos y denunciar a la policía",Las bicicletas no están obligadas a informar de accidentes,"Si es un accidente por daños a la propiedad, no hace falta hacer nada.",2,"Según las preguntas frecuentes de la Agencia Nacional de Policía, ejemplos como entrar en un paso a nivel, frenos de bicicleta defectuosos y usar (o sostener un teléfono móvil) se enumeran como ejemplos de elegibilidad para el ticket azul en lugar de advertencias",Portal de Bicicletas de la Agencia Nacional de Policía
Frenos,初級,¿Qué obligación según el artículo 72 de la Ley de Tráfico Circulante es apropiada cuando una bicicleta provoca un accidente de tráfico?,10.000 yenes,6.000 yenes,5.000 yenes,7.000 yenes,3,"Los peatones son lugares donde tienen prioridad, y las bicicletas no deben obstruir el paso peatonal y deben detenerse o ceder el paso según sea necesario","Agencia Nacional de Policía: Normas de tráfico ciclista: Excepciones a la salida por aceras, pasos peatonales y prioridad peatonal"
Reglas básicas,初級,¿Qué combinación de dimensiones de carrocería es correcta para una bicicleta estándar?,"Longitud 200 cm o menos, anchura 70 cm o menos","Solo la longitud máxima es fija, pero no hay límite superior de anchura.","Longitud 190 cm o menos, anchura 60 cm o menos","Longitud 180 cm o menos, anchura 80 cm o menos",3,"El artículo 72 de la Ley de Tráfico Circular exige que los conductores de vehículos implicados en accidentes de tráfico presten asistencia médica a las personas heridas, tomen medidas para prevenir peligros en la carretera y informen a la policía, incluidas las bicicletas",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
acto peligroso,初級,¿Cuál de las siguientes explicaciones es la más adecuada bajo la Ley de Tráfico en Carretera respecto a conductas peligrosas como conducir con una sola mano o usar un smartphone en bicicleta?,"Longitud 200 cm o menos, anchura 70 cm o menos",No está prohibido el uso de smartphones,Las infracciones de las obligaciones de conducción segura o de las normativas de la Comisión de Seguridad Pública pueden estar sujetas a aplicación,Conducir con una sola mano no constituye una infracción,3,"Según la lista de infracciones del Departamento de Policía Metropolitana, la multa por fallo de frenos de bicicleta es de 5.000 yenes.",Artículo 72 de la Ley de Tráfico Vial
Reglas básicas,上級,¿Cuál de las siguientes explicaciones es la más adecuada bajo la Ley de Tráfico en Carretera respecto a conductas peligrosas como conducir con una sola mano o usar un smartphone en bicicleta?,No existen ningún estándar para el color o el brillo de los equipos reflectantes.,Seguir las normas para reflectores de automóviles en lugar de bicicletas,No está clasificado como equipo de seguridad y no cuenta con un sistema de aprobación de tipo,"Está sujeto a la aprobación de tipo como equipo de seguridad, etc., y se juzga por si cumple con los estándares del Artículo 9-4.",4,"Las normativas de aplicación especifican que las bicicletas estándar deben medir ""190 cm de largo o menos, ancho 60 cm o menos."" Cualquier cosa más allá de esto no se considera una bicicleta normal.",Portal de Bicicletas del Departamento de Policía Metropolitana　
Intersecciones y cruces,上級,¿Cuál de las siguientes explicaciones es la más adecuada bajo la Ley de Tráfico en Carretera respecto a conductas peligrosas como conducir con una sola mano o usar un smartphone en bicicleta?,Las bicicletas no están sujetas a la normativa de semáforos,"Dependiendo del cruce y la ubicación del tráfico, debes seguir los semáforos que encuentres",Siempre obedece solo las señales peatones mientras caminas por las aceras.,Siempre obedece las señales del vehículo incluso mientras caminas por las aceras.,2,"Bajo la obligación de conducir seguro según el Artículo 70 de la Ley de Tráfico Vial y las regulaciones de la Comisión de Seguridad Pública basadas en el Artículo 71, la conducción en solitario, la conducción con smartphone y la conducción con paraguas pueden considerarse infracciones y estar sujetas a aplicación.",Lista de faltas del Sistema de Frenos de Bicicleta del Departamento de Policía Metropolitana
acto peligroso,上級,"Si una bicicleta provoca un accidente de tráfico, ¿cuál de las siguientes acciones cumple el conductor con el Artículo 72 de la Ley de Tráfico?","Solo se requiere movimiento de vehículo; en principio, no es necesario prestar ayuda a los heridos","Pasa por el primer carril para vehículos contado desde el extremo izquierdo, y luego continúa por su lado izquierdo","Si quieres que la otra persona se vaya, no tienes que hacer nada","Deja de conducir inmediatamente, presta primeros auxilios a los heridos y toma medidas de prevención de riesgos, y comunica su situación al agente de policía",4,"Según el artículo 39-8, el equipo reflectante instalado en bicicletas se designa como equipo de seguridad sujeto a aprobación de tipo, y las normas se determinan en el artículo 9-4",Reglamento de Aplicación de la Ley de Tráfico Vial Artículo 9-2-2
Reglas básicas,上級,"En carreteras con carriles para vehículos, ¿cuál es la posición más adecuada para que las bicicletas pasen?",Circula libremente por aceras y carreteras según la situación,"Pasa por el primer carril para vehículos contado desde el extremo izquierdo, y luego continúa por su lado izquierdo",Pasando por el carril de vehículos más a la derecha.,Puedes elegir y usar libremente cualquier franja de pasaje abierto,2,"Las bicicletas que circulan por aceras pueden seguir señales peatonales dependiendo de la estructura del cruce y su posición de paso. Es difícil decir simplemente 'esto es todo lo que necesitas', así que es más seguro organizar la visualización de los semáforos que enfrentas",Normas estándar para el tamaño de la bicicleta (longitud y ancho)
Uso de auriculares,初級,"En carreteras con carriles para vehículos, ¿cuál es la posición más adecuada para que las bicicletas pasen?","Independientemente de si tienes uno o ambos oídos, puedes juzgar si no oyes los sonidos o voces necesarios para conducir con seguridad.","Si es solo una oja, siempre es legal.",No hay regulaciones sobre los auriculares.,"Si tienes ambas orejas, siempre es una infracción",1,"El artículo 72 exige que, en caso de accidente, los heridos sean tratados con atención médica, medidas de prevención de riesgos y notificados a la policía",Cinco reglas para el uso seguro de bicicletas
Reglas básicas,上級,"En carreteras con carriles para vehículos, ¿cuál es la posición más adecuada para que las bicicletas pasen?","Independientemente de si tienes uno o ambos oídos, puedes juzgar si no oyes los sonidos o voces necesarios para conducir con seguridad.",Las bicicletas que circulan por carreteras no prioritarias deben prestar atención a los vehículos que adelantan en carreteras prioritarias y tomar medidas como detenerse cuando sea necesario.,No hay regulaciones sobre los auriculares.,Los vehículos que circulan por carreteras prioritarias deben ceder siempre el paso a las carreteras no prioritarias,2,"Cuando hay un carril para vehículos, generalmente se requiere que las bicicletas circulen por el primer carril contado desde el extremo izquierdo y luego por el lado izquierdo",Reglamento de Política de la Ley de Tráfico Vial
Mientras uso mi smartphone,上級,¿Cuál de las siguientes opciones es la forma correcta para que las bicicletas pasen por pasos a nivel donde las barreras están caídas?,Las infracciones siempre se cometen incluso estando suspendido,"Aunque empujes mientras caminas, definitivamente es una infracción",El objetivo básico es mientras conduces (excepto cuando estás parado),"Si no haces llamadas ni siquiera mirando tu smartphone, no es una infracción",3,"Según el aviso de la Agencia Nacional de Policía, en lugar de emitir un único juicio basado en si se oyen uno o ambos oídos, la orden es juzgar en función de si el sonido o la voz necesarios para conducir con seguridad no son audibles.",Reglamento de Aplicación de la Ley de Tráfico Vial Artículo 9-4 y Artículo 39-8
Cruce ferroviario,初級,¿Cuál de las siguientes opciones es la forma correcta para que las bicicletas pasen por pasos a nivel donde las barreras están caídas?,"Si empujas y caminas, siempre puedes pasar de largo",Puedes caminar por la acera.,No entres cuando la barrera esté caída o cuando el calefactor empiece a caer.,Puedes usarlo en bicicleta,3,"En las carreteras prioritarias, se impone aún más precaución a los vehículos que entran por el lado no prioritario, incluidas las bicicletas",
acto peligroso,上級,¿Cuál de las siguientes opciones es la forma correcta para que las bicicletas pasen por pasos a nivel donde las barreras están caídas?,"Siguiendo el método de tráfico vial, no es necesario cruzar bici",Solo se permiten pasos peatonales; no se permiten cruces para bicicletas.,"En los cruces, debes bajarte de la bicicleta y caminar",Puedes usarlo en bicicleta,4,"Según los materiales de aviso público, las llamadas con cámara y el observar la pantalla mientras se conduce (excepto estando parado) son un objetivo, y las evaluaciones en cada caso dependen de la situación",Ley de Tráfico Vial
acto peligroso,初級,¿Cuál es la explicación correcta para la conducción en paralelo en una bicicleta normal?,"Siguiendo el método de tráfico vial, no es necesario cruzar bici",No está permitido en absoluto el recorrido en paralelo de bicicletas normales,"Mientras sea una acera, puede ir paralela a cualquier generación.","Incluso si las señales de tráfico lo permiten, solo dos bicicletas normales pueden circular una al lado de la otra",4,No entres en pasos de paso donde la barrera esté descendiendo o empieza a descender. Lo mismo ocurre con las bicicletas.,Artículo 72 de la Ley de Tráfico Vial
Frenos,初級,¿Cuál de las siguientes afirmaciones sobre bicicletas con frenos deficientes es correcta?,Solo está prohibido el descenso,No conduzcas una bicicleta con sistemas de frenos defectuosos.,"Si vas en la acera, no importa.","Mientras un freno funcione, no pasa nada.",2,"Según el artículo 63-7, en los cruces donde exista un equipo de cruce en bicicleta, el equipo está obligado a proceder con ese cruce",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Reglas básicas,上級,¿Cuál de las siguientes afirmaciones sobre bicicletas con frenos deficientes es correcta?,"Si hay acera, puedes avanzar sin frenar","En intersecciones con poca visibilidad, avanza despacio y presta atención a los vehículos y peatones que pasan por la intersección","Aunque la visibilidad sea mala, mientras sea una carretera prioritaria, no es necesario como norma.",No se requiere que las bicicletas reduzcan la velocidad; esto solo se aplica a los automóviles,2,"Según los artículos 19 y 63-5 de la Ley de Tránsito Vial, la conducción en paralelo está prohibida salvo cuando esté permitida por señales de tráfico, y aunque esté permitida, hay un límite de dos vehículos.",Artículo 20 de la Ley de Tráfico Vial
